"product_name","promotion_name","product_family","recyclable_package","media_type","has_promotion","promotion_duration_days","promotion_unit_cost"
"ADJ Rosy Sunglasses","No Promotion","Non-Consumable","1","No Media","0","0","0"
"ADJ Rosy Sunglasses","Bag Stuffers","Non-Consumable","1","Daily Paper Radio","1","4","12662"
"ADJ Rosy Sunglasses","Best Savings","Non-Consumable","1","Cash Register Handout","1","2","11017"
"ADJ Rosy Sunglasses","Big Time Discounts","Non-Consumable","1","Street Handout","1","4","6274"
"ADJ Rosy Sunglasses","Dimes Off","Non-Consumable","1","Radio","1","4","11525"
"ADJ Rosy Sunglasses","Double Your Savings","Non-Consumable","1","Street Handout","1","3","12216"
"ADJ Rosy Sunglasses","Go For It","Non-Consumable","1","Bulk Mail","1","2","8707"
"ADJ Rosy Sunglasses","Money Savers","Non-Consumable","1","TV","1","3","6570"
"ADJ Rosy Sunglasses","Mystery Sale","Non-Consumable","1","Daily Paper Radio","1","3","6884"
"ADJ Rosy Sunglasses","One Day Sale","Non-Consumable","1","Daily Paper Radio TV","1","3","8588"
"ADJ Rosy Sunglasses","One Day Sale","Non-Consumable","1","Street Handout","1","2","14672"
"ADJ Rosy Sunglasses","Pick Your Savings","Non-Consumable","1","In-Store Coupon","1","1","8351"
"ADJ Rosy Sunglasses","Price Destroyers","Non-Consumable","1","Bulk Mail","1","4","9618"
"ADJ Rosy Sunglasses","Price Destroyers","Non-Consumable","1","Radio","1","4","11249"
"ADJ Rosy Sunglasses","Price Slashers","Non-Consumable","1","Sunday Paper Radio TV","1","3","5411"
"ADJ Rosy Sunglasses","Price Smashers","Non-Consumable","1","Street Handout","1","4","9545"
"ADJ Rosy Sunglasses","Price Smashers","Non-Consumable","1","Street Handout","1","3","9160"
"ADJ Rosy Sunglasses","Sale Winners","Non-Consumable","1","Bulk Mail","1","2","11050"
"ADJ Rosy Sunglasses","Sale Winners","Non-Consumable","1","In-Store Coupon","1","1","9938"
"ADJ Rosy Sunglasses","Sales Days","Non-Consumable","1","Sunday Paper","1","2","13288"
"ADJ Rosy Sunglasses","Save-It Sale","Non-Consumable","1","Daily Paper","1","4","8179"
"ADJ Rosy Sunglasses","Save-It Sale","Non-Consumable","1","In-Store Coupon","1","2","6763"
"ADJ Rosy Sunglasses","Savings Galore","Non-Consumable","1","Product Attachment","1","3","10519"
"ADJ Rosy Sunglasses","Shelf Clearing Days","Non-Consumable","1","Sunday Paper","1","3","10245.5"
"ADJ Rosy Sunglasses","Super Duper Savers","Non-Consumable","1","Cash Register Handout","1","1","13753"
"ADJ Rosy Sunglasses","Tip Top Savings","Non-Consumable","1","Street Handout","1","3","14258"
"ADJ Rosy Sunglasses","Two Day Sale","Non-Consumable","1","Radio","1","3","9128"
