product_family,product_department,the_year,country,region,province,sales,cost,unit
Drink,"Alcoholic Beverages",2014,USA,Center,AR,14074.08,5611.7852,6883
Drink,"Alcoholic Beverages",2014,USA,Center,CO,14091.08,5599.7852,6900
Drink,"Alcoholic Beverages",2014,USA,Center,IA,14074.08,5628.7852,6883
Drink,"Alcoholic Beverages",2014,USA,Center,IL,14061.08,5626.7852,6870
Drink,"Alcoholic Beverages",2014,USA,Center,IN,14064.08,5587.7852,6873
Drink,"Alcoholic Beverages",2014,USA,Center,KS,14072.08,5633.7852,6881
Drink,"Alcoholic Beverages",2014,USA,Center,KY,14088.08,5604.7852,6897
Drink,"Alcoholic Beverages",2014,USA,Center,LA,14037.08,5601.7852,6846
Drink,"Alcoholic Beverages",2014,USA,Center,MI,14084.08,5641.7852,6893
Drink,"Alcoholic Beverages",2014,USA,Center,MN,14067.08,5609.7852,6876
Drink,"Alcoholic Beverages",2014,USA,Center,MO,14098.08,5625.7852,6907
Drink,"Alcoholic Beverages",2014,USA,Center,ND,14088.08,5618.7852,6897
Drink,"Alcoholic Beverages",2014,USA,Center,NE,14058.08,5598.7852,6867
Drink,"Alcoholic Beverages",2014,USA,Center,OK,14072.08,5642.7852,6881
Drink,"Alcoholic Beverages",2014,USA,Center,SD,14088.08,5630.7852,6897
Drink,"Alcoholic Beverages",2014,USA,Center,TX,14079.08,5626.7852,6888
Drink,"Alcoholic Beverages",2014,USA,Center,WI,14084.08,5633.7852,6893
Drink,"Alcoholic Beverages",2014,USA,CenterWest,AZ,14069.08,5635.7852,6878
Drink,"Alcoholic Beverages",2014,USA,CenterWest,ID,14074.08,5602.7852,6883
Drink,"Alcoholic Beverages",2014,USA,CenterWest,MT,14088.08,5625.7852,6897
Drink,"Alcoholic Beverages",2014,USA,CenterWest,NM,14092.08,5606.7852,6901
Drink,"Alcoholic Beverages",2014,USA,CenterWest,NV,14065.08,5612.7852,6874
