product_name,promotion_name,product_family,recyclable_package,media_type,has_promotion,promotion_duration_days,promotion_unit_cost,sales
"ADJ Rosy Sunglasses","'No Promotion",Non-Consumable,1,"No Media",0,0,0.00000000,320.1600
"ADJ Rosy Sunglasses","Bag Stuffers",Non-Consumable,1,"Daily Paper, Radio",1,3,11793.00000000,5.5200
"ADJ Rosy Sunglasses","Best Savings",Non-Consumable,1,Radio,1,4,13141.00000000,8.2800
"ADJ Rosy Sunglasses","Dollar Cutters",Non-Consumable,1,"Daily Paper, Radio, TV",1,2,14418.00000000,8.2800
"ADJ Rosy Sunglasses","Dollar Days",Non-Consumable,1,"Daily Paper, Radio",1,3,13881.00000000,11.0400
"ADJ Rosy Sunglasses","Green Light Days",Non-Consumable,1,"Street Handout",1,2,13342.00000000,5.5200
"ADJ Rosy Sunglasses","High Roller Savings",Non-Consumable,1,"Daily Paper",1,4,10184.00000000,8.2800
"ADJ Rosy Sunglasses","Money Savers",Non-Consumable,1,"Cash Register Handout",1,4,5301.00000000,11.0400
"ADJ Rosy Sunglasses","Mystery Sale",Non-Consumable,1,"Daily Paper, Radio, TV",1,4,7435.00000000,5.5200
"ADJ Rosy Sunglasses","Price Cutters",Non-Consumable,1,"Product Attachment",1,4,12920.00000000,5.5200
"ADJ Rosy Sunglasses","Price Destroyers",Non-Consumable,1,"Sunday Paper",1,3,12144.00000000,8.2800
"ADJ Rosy Sunglasses","Sales Days",Non-Consumable,1,"Daily Paper",1,1,6271.00000000,5.5200
"ADJ Rosy Sunglasses","Sales Galore",Non-Consumable,1,"Bulk Mail",1,2,9655.00000000,8.2800
"ADJ Rosy Sunglasses","Sales Galore",Non-Consumable,1,"Bulk Mail",1,4,14245.00000000,8.2800
"ADJ Rosy Sunglasses","Saving Days",Non-Consumable,1,"Daily Paper, Radio",1,2,11836.00000000,13.8000
"ADJ Rosy Sunglasses","Savings Galore",Non-Consumable,1,"Street Handout",1,3,13853.00000000,5.5200
