"product_name","promotion_name","product_family","recyclable_package","media_type","has_promotion","promotion_duration_days","promotion_unit_cost","sales"
"ADJ Rosy Sunglasses","'No Promotion","Non-Consumable","true","No Media",0,0,0,320.16
"ADJ Rosy Sunglasses","Bag Stuffers","Non-Consumable","true","Daily Paper Radio",1,3,11793,5.52
"ADJ Rosy Sunglasses","Best Savings","Non-Consumable","true","Radio",1,4,13141,8.28
"ADJ Rosy Sunglasses","Dollar Cutters","Non-Consumable","true","Daily Paper Radio TV",1,2,14418,8.28
"ADJ Rosy Sunglasses","Dollar Days","Non-Consumable","true","Daily Paper Radio",1,3,13881,11.04
"ADJ Rosy Sunglasses","Green Light Days","Non-Consumable","true","Street Handout",1,2,13342,5.52
"ADJ Rosy Sunglasses","High Roller Savings","Non-Consumable","true","Daily Paper",1,4,10184,8.28
"ADJ Rosy Sunglasses","Money Savers","Non-Consumable","true","Cash Register Handout",1,4,5301,11.04
"ADJ Rosy Sunglasses","Mystery Sale","Non-Consumable","true","Daily Paper Radio TV",1,4,7435,5.52
"ADJ Rosy Sunglasses","Price Cutters","Non-Consumable","true","Product Attachment",1,4,12920,5.52
"ADJ Rosy Sunglasses","Price Destroyers","Non-Consumable","true","Sunday Paper",1,3,12144,8.28
"ADJ Rosy Sunglasses","Sales Days","Non-Consumable","true","Daily Paper",1,1,6271,5.52
"ADJ Rosy Sunglasses","Sales Galore","Non-Consumable","true","Bulk Mail",1,2,9655,8.28
"ADJ Rosy Sunglasses","Sales Galore","Non-Consumable","true","Bulk Mail",1,4,14245,8.28
"ADJ Rosy Sunglasses","Saving Days","Non-Consumable","true","Daily Paper Radio",1,2,11836,13.8
"ADJ Rosy Sunglasses","Savings Galore","Non-Consumable","true","Street Handout",1,3,13853,5.52
"ADJ Rosy Sunglasses","Weekend Markdown","Non-Consumable","true","Street Handout",1,2,5337,8.28
"ADJ Rosy Sunglasses","Weekend Markdown","Non-Consumable","true","Sunday Paper Radio TV",1,2,6751,5.52
"Akron City Map","'No Promotion","Non-Consumable","false","No Media",0,0,0,215.76
"Akron City Map","Bag Stuffers","Non-Consumable","false","Product Attachment",1,4,8262,5.22
"Akron City Map","Big Time Savings","Non-Consumable","false","Sunday Paper Radio",1,4,10132,5.22
"Akron City Map","Cash Register Lottery","Non-Consumable","false","Daily Paper Radio",1,29,5986,10.44
"Akron City Map","Dollar Days","Non-Consumable","false","Daily Paper Radio",1,3,13881,3.48
"Akron City Map","Double Down Sale","Non-Consumable","false","Street Handout",1,3,5919,8.7
"Akron City Map","High Roller Savings","Non-Consumable","false","Daily Paper",1,4,10184,3.48
"Akron City Map","One Day Sale","Non-Consumable","false","In-Store Coupon",1,2,9307,3.48
"Akron City Map","Price Cutters","Non-Consumable","false","Cash Register Handout",1,3,14552,6.96
"Akron City Map","Price Savers","Non-Consumable","false","Sunday Paper Radio",1,1,11170,6.96
"Akron City Map","Save-It Sale","Non-Consumable","false","Daily Paper Radio TV",1,3,8937,3.48
"Akron City Map","Save-It Sale","Non-Consumable","false","Product Attachment",1,3,6025,5.22
"Akron City Map","Shelf Emptiers","Non-Consumable","false","Daily Paper Radio TV",1,3,10789,3.48
"Akron City Map","Shelf Emptiers","Non-Consumable","false","Street Handout",1,4,13734,5.22
"Akron City Map","Super Wallet Savers","Non-Consumable","false","Cash Register Handout",1,2,14019,5.22
"Akron City Map","Weekend Markdown","Non-Consumable","false","Street Handout",1,2,5337,5.22
"Akron City Map","You Save Days","Non-Consumable","false","Bulk Mail",1,4,13181,5.22
"Akron City Map","You Save Days","Non-Consumable","false","TV",1,2,10822,5.22
"American Beef Bologna","'No Promotion","Food","true","No Media",0,0,0,90.48
"American Beef Bologna","Bag Stuffers","Food","true","Product Attachment",1,4,8262,1.56
"American Beef Bologna","Big Promo","Food","true","Sunday Paper",1,2,5112,1.56
"American Beef Bologna","Big Time Savings","Food","true","Daily Paper",1,2,7732,3.12
"American Beef Bologna","Bye Bye Baby","Food","true","TV",1,4,6292,3.12
"American Beef Bologna","Dollar Days","Food","true","Daily Paper Radio",1,3,13881,2.34
"American Beef Bologna","Free For All","Food","true","Street Handout",1,1,5518,2.34
"American Beef Bologna","High Roller Savings","Food","true","Daily Paper",1,4,10184,5.46
"American Beef Bologna","Money Savers","Food","true","Cash Register Handout",1,4,5301,1.56
"American Beef Bologna","One Day Sale","Food","true","Daily Paper Radio TV",1,1,11729,2.34
"American Beef Bologna","One Day Sale","Food","true","Daily Paper Radio TV",1,3,13175,2.34
"American Beef Bologna","One Day Sale","Food","true","In-Store Coupon",1,2,9307,2.34
"American Beef Bologna","Pick Your Savings","Food","true","Sunday Paper",1,3,6725,3.12
"American Beef Bologna","Price Savers","Food","true","Sunday Paper Radio",1,1,11170,2.34
"American Beef Bologna","Save-It Sale","Food","true","Product Attachment",1,3,6025,3.12
"American Beef Bologna","Shelf Emptiers","Food","true","Cash Register Handout",1,4,9229,2.34
"American Beef Bologna","You Save Days","Food","true","TV",1,2,10822,1.56
"American Chicken Hot Dogs","'No Promotion","Food","false","No Media",0,0,0,274.68
"American Chicken Hot Dogs","Best Savings","Food","false","Radio",1,4,13141,10.08
"American Chicken Hot Dogs","Big Promo","Food","false","Sunday Paper",1,2,5112,5.04
"American Chicken Hot Dogs","Big Time Discounts","Food","false","Product Attachment",1,2,10993,7.56
"American Chicken Hot Dogs","Cash Register Lottery","Food","false","Daily Paper Radio",1,29,5986,20.16
"American Chicken Hot Dogs","Dimes Off","Food","false","Daily Paper Radio TV",1,2,9647,12.6
"American Chicken Hot Dogs","Dollar Cutters","Food","false","Daily Paper Radio TV",1,2,14418,7.56
"American Chicken Hot Dogs","Double Down Sale","Food","false","Daily Paper",1,1,5596,10.08
"American Chicken Hot Dogs","Green Light Days","Food","false","Street Handout",1,2,13342,17.64
"American Chicken Hot Dogs","Price Savers","Food","false","In-Store Coupon",1,3,8185,7.56
"American Chicken Hot Dogs","Super Wallet Savers","Food","false","Cash Register Handout",1,2,14019,10.08
"American Chicken Hot Dogs","Three for One","Food","false","Sunday Paper",1,2,11825,10.08
"American Chicken Hot Dogs","Tip Top Savings","Food","false","Daily Paper Radio TV",1,4,5490,10.08
"American Chicken Hot Dogs","Wallet Savers","Food","false","Sunday Paper Radio TV",1,4,7995,7.56
"American Cole Slaw","'No Promotion","Food","false","No Media",0,0,0,119.26
"American Cole Slaw","Dollar Cutters","Food","false","Bulk Mail",1,4,14126,3.56
"American Cole Slaw","Mystery Sale","Food","false","Sunday Paper Radio",1,3,9700,2.67
"American Cole Slaw","Price Slashers","Food","false","Sunday Paper Radio TV",1,1,8621,1.78
"American Cole Slaw","Sales Galore","Food","false","Product Attachment",1,3,14908,2.67
"American Cole Slaw","Save-It Sale","Food","false","Daily Paper Radio",1,2,6484,2.67
"American Cole Slaw","Saving Days","Food","false","Daily Paper Radio",1,2,11836,4.45
"American Cole Slaw","Unbeatable Price Savers","Food","false","Daily Paper Radio TV",1,3,13777,2.67
"American Corned Beef","'No Promotion","Food","true","No Media",0,0,0,280.9
"American Corned Beef","Bag Stuffers","Food","true","Product Attachment",1,4,8262,5.3
"American Corned Beef","Best Savings","Food","true","Radio",1,4,13141,7.95
"American Corned Beef","Big Promo","Food","true","Sunday Paper",1,2,5112,5.3
"American Corned Beef","Bye Bye Baby","Food","true","TV",1,4,6292,7.95
"American Corned Beef","Double Your Savings","Food","true","Radio",1,2,9443,5.3
"American Corned Beef","Free For All","Food","true","Sunday Paper Radio",1,3,12624,10.6
"American Corned Beef","High Roller Savings","Food","true","Daily Paper",1,4,10184,5.3
"American Corned Beef","Price Savers","Food","true","Street Handout",1,2,11513,13.25
"American Corned Beef","Sales Galore","Food","true","Bulk Mail",1,4,14245,10.6
"American Corned Beef","Sales Galore","Food","true","Product Attachment",1,3,14908,10.6
"American Corned Beef","Super Savers","Food","true","Sunday Paper Radio",1,2,6499,7.95
