"product_name","promotion_name","product_family","recyclable_package","media_type","has_promotion","promotion_duration_days","promotion_unit_cost","sales","estimate"
"ADJ Rosy Sunglasses","'No Promotion","Non-Consumable",1,"No Media",0,0,0,320.16,266.201061138571
"ADJ Rosy Sunglasses","Bag Stuffers","Non-Consumable",1,"Daily Paper Radio",1,3,11793,5.52,7.63773512357051
"ADJ Rosy Sunglasses","Best Savings","Non-Consumable",1,"Radio",1,4,13141,8.28,7.63773512357051
"ADJ Rosy Sunglasses","Dollar Cutters","Non-Consumable",1,"Daily Paper Radio TV",1,2,14418,8.28,7.63773512357051
"ADJ Rosy Sunglasses","Dollar Days","Non-Consumable",1,"Daily Paper Radio",1,3,13881,11.04,7.63773512357051
"ADJ Rosy Sunglasses","Green Light Days","Non-Consumable",1,"Street Handout",1,2,13342,5.52,7.63773512357051
"ADJ Rosy Sunglasses","High Roller Savings","Non-Consumable",1,"Daily Paper",1,4,10184,8.28,7.63773512357051
"ADJ Rosy Sunglasses","Money Savers","Non-Consumable",1,"Cash Register Handout",1,4,5301,11.04,7.63773512357051
"ADJ Rosy Sunglasses","Mystery Sale","Non-Consumable",1,"Daily Paper Radio TV",1,4,7435,5.52,7.63773512357051
"ADJ Rosy Sunglasses","Price Cutters","Non-Consumable",1,"Product Attachment",1,4,12920,5.52,7.63773512357051
"ADJ Rosy Sunglasses","Price Destroyers","Non-Consumable",1,"Sunday Paper",1,3,12144,8.28,7.63773512357051
"ADJ Rosy Sunglasses","Sales Days","Non-Consumable",1,"Daily Paper",1,1,6271,5.52,7.63773512357051
"ADJ Rosy Sunglasses","Sales Galore","Non-Consumable",1,"Bulk Mail",1,2,9655,8.28,7.63773512357051
"ADJ Rosy Sunglasses","Sales Galore","Non-Consumable",1,"Bulk Mail",1,4,14245,8.28,7.63773512357051
"ADJ Rosy Sunglasses","Saving Days","Non-Consumable",1,"Daily Paper Radio",1,2,11836,13.8,7.63773512357051
"ADJ Rosy Sunglasses","Savings Galore","Non-Consumable",1,"Street Handout",1,3,13853,5.52,7.63773512357051
"ADJ Rosy Sunglasses","Weekend Markdown","Non-Consumable",1,"Street Handout",1,2,5337,8.28,7.63773512357051
"ADJ Rosy Sunglasses","Weekend Markdown","Non-Consumable",1,"Sunday Paper Radio TV",1,2,6751,5.52,7.63773512357051
"Akron City Map","'No Promotion","Non-Consumable",0,"No Media",0,0,0,215.76,265.19826956013
"Akron City Map","Bag Stuffers","Non-Consumable",0,"Product Attachment",1,4,8262,5.22,6.63494354512949
"Akron City Map","Big Time Savings","Non-Consumable",0,"Sunday Paper Radio",1,4,10132,5.22,6.63494354512949
"Akron City Map","Cash Register Lottery","Non-Consumable",0,"Daily Paper Radio",1,29,5986,10.44,6.63494354512949
"Akron City Map","Dollar Days","Non-Consumable",0,"Daily Paper Radio",1,3,13881,3.48,6.63494354512949
"Akron City Map","Double Down Sale","Non-Consumable",0,"Street Handout",1,3,5919,8.7,6.63494354512949
"Akron City Map","High Roller Savings","Non-Consumable",0,"Daily Paper",1,4,10184,3.48,6.63494354512949
"Akron City Map","One Day Sale","Non-Consumable",0,"In-Store Coupon",1,2,9307,3.48,6.63494354512949
"Akron City Map","Price Cutters","Non-Consumable",0,"Cash Register Handout",1,3,14552,6.96,6.63494354512949
"Akron City Map","Price Savers","Non-Consumable",0,"Sunday Paper Radio",1,1,11170,6.96,6.63494354512949
"Akron City Map","Save-It Sale","Non-Consumable",0,"Daily Paper Radio TV",1,3,8937,3.48,6.63494354512949
"Akron City Map","Save-It Sale","Non-Consumable",0,"Product Attachment",1,3,6025,5.22,6.63494354512949
"Akron City Map","Shelf Emptiers","Non-Consumable",0,"Daily Paper Radio TV",1,3,10789,3.48,6.63494354512949
"Akron City Map","Shelf Emptiers","Non-Consumable",0,"Street Handout",1,4,13734,5.22,6.63494354512949
"Akron City Map","Super Wallet Savers","Non-Consumable",0,"Cash Register Handout",1,2,14019,5.22,6.63494354512949
"Akron City Map","Weekend Markdown","Non-Consumable",0,"Street Handout",1,2,5337,5.22,6.63494354512949
"Akron City Map","You Save Days","Non-Consumable",0,"Bulk Mail",1,4,13181,5.22,6.63494354512949
"Akron City Map","You Save Days","Non-Consumable",0,"TV",1,2,10822,5.22,6.63494354512949
"American Beef Bologna","'No Promotion","Food",1,"No Media",0,0,0,90.48,266.201061138571
