product_name,SKU,SRP,brand_name,product_subcategory,product_category,product_family,store_Sales,store_cost,unit_sales
"ADJ Rosy Sunglasses",66307157874,2.7600,ADJ,Sunglasses,Specialty,Non-Consumable,1156.4400,470.2212,419.0000
"Akron City Map",73539090752,1.7400,Akron,Maps,Miscellaneous,Non-Consumable,579.4200,227.9922,333.0000
"Akron Eyeglass Screwdriver",93960003256,1.7600,Akron,Screwdrivers,Hardware,Non-Consumable,660.0000,257.4528,375.0000
"American Beef Bologna",31022462248,0.7800,American,Bologna,Meat,Food,266.7600,108.1548,342.0000
"American Chicken Hot Dogs",74560315012,2.5200,American,"Hot Dogs",Meat,Food,685.4400,274.7808,272.0000
"American Cole Slaw",64435458779,0.8900,American,"Deli Salads","Side Dishes",Food,326.6300,130.7588,367.0000
"American Corned Beef",86779010891,2.6500,American,"Deli Meats",Meat,Food,887.7500,355.0205,335.0000
"American Foot-Long Hot Dogs",94469569325,2.1400,American,"Hot Dogs",Meat,Food,637.7200,263.0702,298.0000
"American Low Fat Bologna",39077082276,2.8700,American,Bologna,Meat,Food,881.0900,354.6459,307.0000
"American Low Fat Cole Slaw",27905306220,2.2700,American,"Deli Salads","Side Dishes",Food,724.1300,297.4608,319.0000
"American Pimento Loaf",47279298901,2.7600,American,Bologna,Meat,Food,888.7200,358.8000,322.0000
"American Potato Salad",32159911990,1.5500,American,"Deli Salads","Side Dishes",Food,457.2500,186.1240,295.0000
"American Roasted Chicken",81011092066,2.9700,American,"Fresh Chicken",Meat,Food,1033.5600,416.3940,348.0000
"American Sliced Chicken",66403363347,0.5900,American,"Deli Meats",Meat,Food,178.7700,71.0655,303.0000
"American Sliced Ham",11010876297,2.7600,American,"Deli Meats",Meat,Food,872.1600,343.3992,316.0000
"American Sliced Turkey",48690280318,3.1700,American,"Deli Meats",Meat,Food,1077.8000,445.5118,340.0000
"American Turkey Hot Dogs",27177183032,2.7400,American,"Hot Dogs",Meat,Food,945.3000,386.4222,345.0000
"Amigo Lox",63874211907,2.9600,Amigo,"Fresh Fish",Seafood,Food,663.0400,270.2184,224.0000
"Amigo Scallops",23498780131,2.7900,Amigo,Shellfish,Seafood,Food,937.4400,377.5707,336.0000
"Applause Canned Mixed Fruit",48180714249,2.8000,Applause,"Canned Fruit",Fruit,Food,901.6000,365.5960,322.0000
"Applause Canned Peaches",69329749941,2.3400,Applause,"Canned Fruit",Fruit,Food,856.4400,333.0288,366.0000
"Atomic Bubble Gum",59291539788,3.3300,Atomic,Gum,Candy,Food,1052.2800,424.1754,316.0000
