store_name;store_city;store_state;store_country;store_sales_goal;store_cost_goal;unit_sales_goal
"Store 1";Austin;TX;USA;68387.89;31172.1119;32682
"Store 10";Raleigh;NC;USA;78177.51;30372.8666;34471
"Store 11";Trenton;NJ;USA;72049.29;27576.4491;32431
"Store 12";Richmond;VA;USA;115980.21;47599.1671;47957
"Store 13";Charleston;WA;USA;98753.13;44455.9681;45470
"Store 14";Boston;MA;USA;5837.26;2567.6703;2635
"Store 15";Indianapolis;IN;USA;82611.54;35261.6185;36277
"Store 16";Phoenix;AZ;USA;84727.83;30496.8850;36176
"Store 17";Nashville;TN;USA;111781.91;46392.4708;47492
"Store 18";"Jefferson City";MO;USA;27500.81;11185.0542;12751
"Store 19";Annapolis;MD;USA;117434.23;37731.4111;48703
"Store 2";Albany;NY;USA;6287.80;2325.7845;2582
"Store 20";Madison;WI;USA;25796.18;10390.1870;13539
"Store 21";Denver;CO;USA;108236.38;44979.8984;45757
"Store 22";Montgomery;AL;USA;6643.41;2868.7693;2718
"Store 23";Columbia;SC;USA;29137.02;10427.0245;15058
"Store 24";"San Diego";CA;USA;63156.97;26483.9299;32232
"Store 3";Tallahassee;FL;USA;72237.19;30554.4031;33149
"Store 4";Springfield;IL;USA;69952.51;30002.4144;30691
"Store 5";Harrisburg;PA;USA;6566.50;2578.9061;2855
"Store 6";Columbus;OH;USA;60587.88;26246.6785;33064
"Store 7";"San Francisco";CA;USA;76170.32;29379.0166;32985
"Store 8";Lansing;MI;USA;114797.42;43125.1789;47216
"Store 9";Atlanta;GA;USA;27937.99;11654.8669;14049
