ID;State_name;State_cd;State_hood;Capital;Capital since;km2;perc_superficie;citizen;seats;big_electors
5;California;CA;1850;Sacramento;1854;423970;4.302709305;38041430;53;55
43;Texas;TX;1845;Austin;1839;695621;7.059591362;27695248;32;34
35;New York;NY;1788;Albany;1797;141299;1.433989485;19378102;29;31
13;Florida;FL;1845;Tallahassee;1824;183112;1.858333623;18801310;25;27
17;Illinois;IL;1818;Springfield;1837;149998;1.522272308;12830632;19;21
40;Pennsylvania;PA;1787;Harrisburg;1812;119283;1.210557525;12702379;19;21
37;Ohio;OH;1803;Columbus;1816;116096;1.178213882;11536504;18;20
26;Michigan;MI;1837;Lansing;1847;250494;2.542167759;9883640;15;17
14;Georgia;GA;1788;Atlanta;1868;153909;1.56196355;9687653;13;15
6;North Carolina;NC;1789;Raleigh;1792;139389;1.414605626;9535483;13;15
34;New Jersey;NJ;1787;Trenton;1784;22588;0.229236969;8791894;13;15
46;Virginia;VA;1788;Richmond;1780;110785;1.124314575;8001024;11;13
48;West Virginia;WA;1863;Charleston;1885;184665;1.874094426;6724540;9;11
25;Massachusetts;MA;1788;Boston;1630;27336;0.277422604;6547629;10;12
18;Indiana;IN;1816;Indianapolis;1825;94321;0.957227739;6483802;9;11
3;Arizona;AZ;1912;Phoenix;1889;295254;2.996419872;6392017;8;10
42;Tennessee;TN;1796;Nashville;1826;109151;1.107731734;6346105;9;11
29;Missouri;MO;1821;Jefferson City;1826;183112;1.858333623;5988927;9;11
24;Maryland;MD;1788;Annapolis;1694;32133;0.326105522;5773552;8;10
49;Wisconsin;WI;1848;Madison;1838;169639;1.721601302;5686986;8;10
27;Minnesota;MN;1858;Saint Paul;1849;225171;2.285174321;5303925;8;10
8;Colorado;CO;1876;Denver;1867;269601;2.736077391;5029196;7;9
1;Alabama;AL;1819;Montgomery;1846;135765;1.377827037;4779736;7;9
7;South Carolina;SC;1788;Columbia;1786;92932;0.943131309;4625364;6;8
22;Louisiana;LA;1812;Baton Rouge;1880;134264;1.362593962;4533372;7;9
21;Kentucky;KY;1792;Frankfort;1792;104659;1.062144145;4339367;6;8
39;Oregon;OR;1859;Salem;1855;254805;2.585918448;3831074;5;7
38;Oklahoma;OK;1907;Oklahoma City;1910;183112;1.858333623;3751351;5;7
9;Connecticut;CT;1788;Hartford;1875;14357;0.1457037;3574097;5;7
19;Iowa;IA;1846;Des Moines;1857;145743;1.479089941;3046355;5;7
28;Mississippi;MS;1817;Jackson;1821;125434;1.272981671;2967297;4;6
4;Arkansas;AR;1836;Little Rock;1821;137732;1.397789367;2915918;4;6
20;Kansas;KS;1861;Topeka;1856;213096;2.162629767;2853118;4;6
44;Utah;UT;1896;Salt Lake City;1858;219887;2.231549027;2763885;3;5
32;Nevada;NV;1864;Carson City;1861;286351;2.906066732;2700551;3;5
36;New Mexico;NM;1912;Santa Fe;1610;314915;3.195951838;2059179;3;5
47;Washington;WV;1889;Olympia;1853;62755;0.636876483;1852994;3;5
31;Nebraska;NE;1867;Lincoln;1867;200345;2.033224747;1826341;3;5
16;Idaho;ID;1890;Boise;1865;216446;2.196627635;1567582;2;4
15;Hawaii;HI;1959;Honolulu;1845;28311;0.287317506;1360301;2;4
23;Maine;ME;1820;Augusta;1832;91646;0.930080187;1328361;2;4
33;New Hampshire;NH;1788;Concord;1808;24216;0.245758918;1316470;2;4
41;Rhode Island;RI;1790;Providence;1900;4002;0.040614767;1052567;2;4
30;Montana;MT;1889;Helena;1875;380838;3.864979141;989415;1;3
12;Delaware;DE;1787;Dover;1777;6447;0.065428136;897934;1;3
11;South Dakota;SD;1889;Pierre;1889;199371;2.023339993;814180;1;3
2;Alaska;AK;1959;Juneau;1906;1717854;17.43384294;710231;1;3
10;North Dakota;ND;1889;Bismarck;1883;183112;1.858333623;672591;1;3
45;Vermont;VT;1791;Montpelier;1805;24901;0.252710721;625741;1;3
50;Wyoming;WY;1890;Cheyenne;1869;253336;2.571010129;563626;1;3
