trimestre;semestre;Mes_N;anio;Mes;Ingresos Brutos Venta de Productos;Ingresos Brutos Servicios  ;Ingresos Brutos Arrendamientos;TOTAL INGRESOS BRUTOS;Devol. Rebajas. Dtos en Ventas Productos;Devol. Rebajas. Dtos en Ventas Servicios;Devol. Rebajas. Dtos en Arrendamientos;TOTAL DE LAS DEDUCCIONES EN VENTAS;Total Deducciones vs Ingresos Brutos;TOTAL INGRESOS NETOS;Costo de los Productos Vendidos;Otros Costos en la Prestación de Servicios;Costo Prestación de Servicios Arrendam.;TOTAL COSTOS;Costos vs Ingresos Netos;UTILIDAD  BRUTA;Margen Bruto;GASTOS OPERACIONALES;Gastos de Operación;Gastos de Ventas;Gastos de Administración;Total Gastos Operacionales vs Ingresos Netos;EBITDA;Margen EBITDA;      Depreciación;      Amortización ;UTILIDAD OPERACIONAL;Margen Operacional;Gastos No Operacionales;Gastos Financieros;Corrección Monetaria;Ingresos No Operacionales / Otros;UTILIDAD ANTES DE IMPUESTOS;Utilidad Antes de Impuesto vs Ingresos Netos;UTILIDAD NETA;Margen Neto
1;1;1;2018;ENERO;296745.4044;1155497.945;16063.78033;1468307.13;18642.45853;77817.70029;4256.85523;100717.0141;0.068593969;1367590.116;137278.4832;235237.8005;0;372516.2837;0.272388839;995073.8325;0.727611161;912531.8015;444608.6303;151595.1472;316328.024;0.667255335;82542.03099;0.060355826;19475.16872;11338.67206;51728.19021;0.037824338;41822.71097;205688.892;0;13685.70541;-182097.7073;-0.133152255;-182097.7073;-0.133152255
1;1;2;2018;FEBRERO;368276.187;1296249.795;21376.665;1685902.647;14356.6789;59078.20069;8799.9999;82234.87949;0.048777953;1603667.767;158763.7967;211883.4177;0;370647.2144;0.231124689;1233020.553;0.768875311;957300.5998;471572.944;167877.7892;317849.8666;0.596944467;275719.953;0.171930844;19405.41196;15038.67206;241275.8689;0.150452528;43861.19941;191923.7999;0;15365.9132;20856.78286;0.013005676;20856.78286;0.013005676
1;1;3;2018;MARZO;359187.1;1248080.681;21276.45233;1628544.233;20420.35775;73730.84317;6810.43413;100961.6351;0.061995022;1527582.598;158842.0661;222770.8656;0;381612.9316;0.249814925;1145969.667;0.750185075;982975.2865;478451.0111;174937.9586;329586.3167;0.643484213;162994.3802;0.106700862;19620.65363;15038.67206;128335.0545;0.084011859;49519.50863;189875.6846;0;23861.55398;-87198.58476;-0.05708273;-87198.58476;-0.05708273
2;1;4;2018;ABRIL;279393.578;1361150.846;9390.806;1649935.23;15517.60057;86373.96128;5675.8559;107567.4178;0.065194934;1542367.812;146530.7251;183501.8516;0;330032.5766;0.213977868;1212335.235;0.786022132;1002722.811;460113.402;205206.1374;337403.2716;0.650119124;209612.4244;0.135903008;19012.72197;14975.32317;175624.3792;0.11386673;48939.20751;201871.4751;0;-1419.69265;-76605.99603;-0.049667787;-76605.99603;-0.049667787
2;1;5;2018;MAYO;422621.5604;1226236.36;8845.81;1657703.73;55466.70603;100910.5629;4399.643;160776.9119;0.096987724;1496926.818;149010.9576;192493.5394;0;341504.497;0.228137069;1155422.321;0.771862931;1024430.837;497259.3664;191190.0956;335981.3752;0.684355992;130991.4842;0.087506939;19377.75531;16076.17762;95537.55128;0.06382246;52089.05969;202899.2162;0;18068.37526;-141382.3493;-0.094448404;-141382.3493;-0.094448404
2;1;6;2018;JUNIO;367922.999;1274956.348;18432.699;1661312.046;34274.76919;117749.0039;4184.28899;156208.0621;0.094026924;1505103.983;141210.5071;208258.078;0;349468.5851;0.232188998;1155635.398;0.767811002;981420.4872;341090.0901;190391.9104;449938.4867;0.652061584;174214.9112;0.115749419;20878.6643;16076.17762;137260.0693;0.091196403;52052.94276;213832.4004;0;5413.7586;-123211.5153;-0.08186246;-123211.5153;-0.08186246
3;2;7;2018;JULIO;555256.19;1290630.805;20041.8;1865928.795;12485.938;83626.67118;5145;101257.6092;0.054266599;1764671.186;202039.349;229318.3996;0;431357.7486;0.244440864;1333313.437;0.755559136;1000442.961;468181.8874;226838.8135;305422.2601;0.566928825;332870.4761;0.188630312;20121.5643;10059.07028;302689.8415;0.171527616;53416.9956;186264.1019;0;35152.29825;98161.04225;0.055625684;98161.04225;0.055625684
3;2;8;2018;AGOSTO;625470.34;1253077.624;20041.8;1898589.764;14478.593;80222.55123;5145;99846.14423;0.052589636;1798743.62;219863.359;212307.2701;0;432170.6291;0.240262495;1366572.991;0.759737505;1028864.654;474214.2261;242090.1712;312560.2571;0.571990718;337708.3362;0.187746788;18515.89763;10517.11403;308675.3246;0.171606071;52734.13779;184584.5871;0;7757.27844;79113.87815;0.043982854;79113.87815;0.043982854
3;2;9;2018;SEPTIEMBRE;630751.37;1276385.396;20041.8;1927178.566;16193.598;82410.41418;5145;103749.0122;0.053834665;1823429.553;232109.569;173888.2653;0;405997.8343;0.222656167;1417431.719;0.777343833;994307.5756;463834.407;230912.8012;299560.3674;0.545295306;423124.1434;0.232048528;18515.89763;10517.11403;394091.1318;0.216126327;53074.67574;176852.0467;0;21067.11358;185231.5229;0.10158414;185231.5229;0.10158414
4;2;10;2018;OCTUBRE;662817.9;1276149.02;20041.8;1959008.72;16193.598;82758.04858;5145;104096.6466;0.053137408;1854912.073;243010.269;196273.1674;0;439283.4364;0.236821703;1415628.637;0.763178297;987571.4954;461427.717;225566.1635;300577.6149;0.532408792;428057.1411;0.230769505;18465.13203;10517.11403;399074.8951;0.215144912;53218.78106;168754.1509;0;15572.66432;192674.6274;0.103872647;192674.6274;0.103872647
