Mes;orden;Ingresos Brutos Venta de Productos;Ingresos Brutos Servicios  ;Ingresos Brutos Arrendamientos;TOTAL INGRESOS BRUTOS;Devol. Rebajas. Dtos en Ventas Productos;Devol. Rebajas. Dtos en Ventas Servicios;Devol. Rebajas. Dtos en Arrendamientos;TOTAL DE LAS DEDUCCIONES EN VENTAS;Total Deducciones vs Ingresos Brutos;TOTAL INGRESOS NETOS;Costo de los Productos Vendidos;Otros Costos en la Prestación de Servicios;Costo Prestación de Servicios Arrendam.;TOTAL COSTOS;Costos vs Ingresos Netos;UTILIDAD  BRUTA;Margen Bruto;GASTOS OPERACIONALES;Gastos de Operación;Gastos de Ventas;Gastos de Administración;Total Gastos Operacionales vs Ingresos Netos;EBITDA;Margen EBITDA;      Depreciación;      Amortización ;UTILIDAD OPERACIONAL;Margen Operacional;Gastos No Operacionales;Gastos Financieros;Corrección Monetaria;Ingresos No Operacionales / Otros;UTILIDAD ANTES DE IMPUESTOS;Utilidad Antes de Impuesto vs Ingresos Netos;UTILIDAD NETA;Margen Neto
ENERO;1;296745.4044;1155497.945;16063.78033;1468307.13;18642.45853;77817.70029;4256.85523;100717.0141;0.068593969;1367590.116;137278.4832;235237.8005;0;372516.2837;0.272388839;995073.8325;0.727611161;912531.8015;444608.6303;151595.1472;316328.024;0.667255335;82542.03099;0.060355826;19475.16872;11338.67206;51728.19021;0.037824338;41822.71097;205688.892;0;13685.70541;-182097.7073;-0.133152255;-182097.7073;-0.133152255
FEBRERO;2;368276.187;1296249.795;21376.665;1685902.647;14356.6789;59078.20069;8799.9999;82234.87949;0.048777953;1603667.767;158763.7967;211883.4177;0;370647.2144;0.231124689;1233020.553;0.768875311;957300.5998;471572.944;167877.7892;317849.8666;0.596944467;275719.953;0.171930844;19405.41196;15038.67206;241275.8689;0.150452528;43861.19941;191923.7999;0;15365.9132;20856.78286;0.013005676;20856.78286;0.013005676
MARZO;3;359187.1;1248080.681;21276.45233;1628544.233;20420.35775;73730.84317;6810.43413;100961.6351;0.061995022;1527582.598;158842.0661;222770.8656;0;381612.9316;0.249814925;1145969.667;0.750185075;982975.2865;478451.0111;174937.9586;329586.3167;0.643484213;162994.3802;0.106700862;19620.65363;15038.67206;128335.0545;0.084011859;49519.50863;189875.6846;0;23861.55398;-87198.58476;-0.05708273;-87198.58476;-0.05708273
ABRIL;4;279393.578;1361150.846;9390.806;1649935.23;15517.60057;86373.96128;5675.8559;107567.4178;0.065194934;1542367.812;146530.7251;183501.8516;0;330032.5766;0.213977868;1212335.235;0.786022132;1002722.811;460113.402;205206.1374;337403.2716;0.650119124;209612.4244;0.135903008;19012.72197;14975.32317;175624.3792;0.11386673;48939.20751;201871.4751;0;-1419.69265;-76605.99603;-0.049667787;-76605.99603;-0.049667787
MAYO;5;422621.5604;1226236.36;8845.81;1657703.73;55466.70603;100910.5629;4399.643;160776.9119;0.096987724;1496926.818;149010.9576;192493.5394;0;341504.497;0.228137069;1155422.321;0.771862931;1024430.837;497259.3664;191190.0956;335981.3752;0.684355992;130991.4842;0.087506939;19377.75531;16076.17762;95537.55128;0.06382246;52089.05969;202899.2162;0;18068.37526;-141382.3493;-0.094448404;-141382.3493;-0.094448404
JUNIO;6;339121.4;1398640.255;18432.699;1756194.354;34739.33535;212166.9886;4184.28899;251090.613;0.142974274;1505103.742;132109.793;224760.147;0;356869.94;0.23710654;1148233.802;0.76289346;988052.021;487754.5049;199060.5758;301236.9404;0.65646772;160181.7806;0.106425741;20575.55703;10059.07028;129547.1533;0.08607191;54830.91568;194707.8861;0;6615.4334;-113376.2151;-0.075327841;-113376.2151;-0.075327841
JULIO;7;611256.19;1294629.205;20041.8;1925927.195;12485.938;83626.67118;5145;101257.6092;0.052576032;1824669.586;226439.349;230132.4847;0;456571.8337;0.25022165;1368097.752;0.74977835;1002267.126;468378.6109;228254.0123;305634.5032;0.549286914;365830.6255;0.200491436;20121.5643;10059.07028;335649.991;0.183951107;53416.9956;186264.1019;0;35152.29825;131121.1917;0.071860239;131121.1917;0.071860239
AGOSTO;8;640005.34;1254844.424;20041.8;1914891.564;14478.593;80222.55123;5145;99846.14423;0.052141931;1815045.42;225963.359;212622.8656;0;438586.2246;0.241639256;1376459.195;0.758360744;1029290.148;474274.4795;242397.7442;312617.9244;0.567087819;347169.047;0.191272925;18515.89763;10517.11403;318136.0354;0.175277176;52734.13779;187850.2121;0;7757.27844;85308.96391;0.047001008;85308.96391;0.047001008
SEPTIEMBRE;9;659821.37;1278362.196;20041.8;1958225.366;16193.598;82410.41418;5145;103749.0122;0.05298114;1854476.353;244309.569;174242.4464;0;418552.0154;0.225698222;1435924.338;0.774301778;995251.2288;463935.2816;231645.7524;299670.1948;0.536675071;440673.1092;0.237626707;18515.89763;10517.11403;411640.0975;0.221971068;53074.67574;179899.9634;0;21067.11358;199732.5719;0.107702949;199732.5719;0.107702949
OCTUBRE;10;662817.9;1278128.62;20041.8;1960988.32;16193.598;82758.04858;5145;104096.6466;0.053083767;1856891.673;243010.269;196425.3756;0;439435.6446;0.236651201;1417456.028;0.763348799;987626.5129;461452.681;225589.2141;300584.6177;0.531870829;429829.5155;0.23147797;18465.13203;10517.11403;400847.2694;0.215870034;53218.78106;171898.8268;0;15572.66432;191302.3259;0.103022879;191302.3259;0.103022879
NOVIEMBRE;11;620884.4;1284423.851;20041.8;1925350.051;16769.893;83276.94114;5145;105191.8341;0.054635174;1820158.217;224316.934;204154.4052;0;428471.3392;0.235403349;1391686.878;0.764596651;1037941.381;480290.0129;244109.4242;313541.9443;0.570247889;353745.4965;0.194348762;18515.89763;10517.11403;324712.4848;0.178397945;53339.31774;171841.2406;0;15782.32642;115314.2529;0.063353972;115314.2529;0.063353972
DICIEMBRE;12;560227.8;1245148.467;20041.8;1825418.067;15171.141;79580.50224;5145;99896.64324;0.05472535;1725521.423;200385.6635;164526.9488;0;364912.6123;0.211479618;1360608.811;0.788520382;1024172.256;475890.5637;229122.4575;319159.2351;0.593543634;336436.5548;0.194976747;18515.89763;10517.11403;307403.5432;0.178151102;53331.50342;162672.2929;0;15828.59456;107228.3414;0.062142573;107228.3414;0.062142573
