ORDEN;ITEM;Ingresos Brutos Venta de Productos;Ingresos Brutos Servicios  ;Ingresos Brutos Arrendamientos;TOTAL INGRESOS BRUTOS;Devol. Rebajas. Dtos en Ventas Productos;Devol. Rebajas. Dtos en Ventas Servicios;Devol. Rebajas. Dtos en Arrendamientos;TOTAL DE LAS DEDUCCIONES EN VENTAS;Deducciones vs Ing Brutos;TOTAL INGRESOS NETOS;Costo de los Productos Vendidos;Otros Costos en la Prestación de Servicios;Costo Prestación de Servicios Arrendam.;TOTAL COSTOS;UTILIDAD  BRUTA;Margen Bruto;GASTOS OPERACIONALES;Gastos de Operación;Gastos de Ventas;Gastos de Administración;Gtos Operacionales vs Ing Netos;EBITDA;Margen EBITDA;      Depreciación;      Amortización ;UTILIDAD OPERACIONAL;Margen Operacional;Gastos No Operacionales;Gastos Financieros;Corrección Monetaria;Ingresos No Operacionales / Otros;UTILIDAD ANTES DE IMPUESTOS;Impuesto de Renta;UTILIDAD NETA;Margen Neto
1;REAL 2006;4752275.705;12095944.02;0;16848219.73;950869.6703;1742280.46;0;2693150.13;0.159847757;14155069.6;2477105.151;1189654.331;0;3666759.483;10488310.12;0.740957863;10057891.15;4030695.762;570407.8802;5456787.508;0.710550455;430418.9656;0.030407407;15128.463;0;415290.5026;0.029338641;4372235.458;493262.8726;171825.4134;1646887.735;-2975145.507;0;-3312145.507;-0.233990054
2;REAL 2007;5775190.586;12352583.68;0;18127774.26;589348.5827;880584.9795;0;1469933.562;0.081087371;16657840.7;2654317.377;2241428.429;0;4895745.806;11762094.89;0.706099614;11858986.3;4820423.703;512635.218;6525927.382;0.711916179;-96891.40786;-0.005816565;268228.096;0;-365119.5039;-0.021918777;3050934.873;1095010.852;0;3063317.382;-1447747.847;0;-1447747.847;-0.086910895
3;REAL 2008;4807889.21;13061923.23;0;17869812.44;783712.098;747318.8322;0;1531030.93;0.085676945;16338781.51;2177804.09;2675111.436;0;4852915.526;11485865.98;0.702981797;11266527.7;3556880.782;2894313.848;4815333.074;0.6895574;219338.2788;0.013424396;269053.2073;0;-49714.92854;-0.003042756;69262.37903;1763312.38;0;226329.5513;-1655960.136;0;-1655960.136;-0.101351507
4;REAL 2009;3783885.602;12308585.93;105653.0331;16198124.57;339045.593;898793.8332;0;1237839.426;0.076418688;14960285.14;1327496.111;2454697.604;135622.7121;3917816.427;11042468.72;0.738118867;10443595.25;3514185.27;2171878.423;4757531.555;0.698087981;598873.4676;0.040030886;133577.2915;-0.002;465296.178;0.031102093;37705.39993;1845245.966;0;117190.4029;-1300464.784;0;-1300464.784;-0.086927807
5;REAL 2010;3381186.712;12797861.69;176307.3308;16355355.73;185461.2511;873882.451;0;1059343.702;0.064770447;15296012.03;1204944.128;2403284.775;78099.76751;3686328.671;11609683.36;0.759000669;9816545.107;3432240.719;1737710.008;4646594.38;0.641771534;1793138.253;0.117229135;109155.5337;2504.3944;1681478.325;0.109929197;95061.50615;1596208.327;0;73551.24499;63759.73653;0;63759.73653;0.00416839
6;REAL 2011;4406411.757;12701247.75;338298.8881;17445958.4;188711.0493;893859.1768;12676.15456;1095246.381;0.062779376;16350712.02;1463560.589;2188918.903;90092.58026;3742572.072;12608139.94;0.771106477;10645996.07;5456558.895;1826687.413;3362749.762;0.651102904;1962143.873;0.120003574;123129.4691;16383.61114;1822630.793;0.111471035;70826.49984;1116903.809;0;174026.9459;808927.4299;0;808927.4299;0.049473529
7;REAL 2012;6045937.453;14560653.96;384025.8149;20990617.23;325301.8038;1029832.39;11277.62926;1366411.823;0.065096315;19624205.41;2180258.99;2676779.814;25178.81499;4882217.619;14741987.79;0.751214507;12746063.8;6733695.417;2774148.915;3238219.466;0.649507256;1995923.991;0.101707251;125081.7035;222992.7215;1647849.566;0.083970257;379974.3835;945201.4051;0;194172.2582;516846.0357;0;516846.0357;0.02633717
8;REAL 2013;4100771.592;14046493.73;232820.2474;18380085.57;209076.5419;1143277.989;0.00056;1352354.531;0.073577162;17027731.04;1320087.402;2464617.492;23417.65018;3808122.544;13219608.5;0.776357605;11839054.1;6580673.155;1732154.856;3526226.085;0.695280779;1380554.402;0.081076827;160413.1328;263413.9996;956727.2698;0.056186421;341932.0042;1954717.204;0;218927.8335;-1120994.105;0;-1120994.105;-0.06583344
9;REAL 2014;5053037.905;14197180.46;202302.9289;19452521.3;322982.6962;1157822.923;4127.06195;1484932.681;0.076336258;17967588.62;1493138.463;2173409.899;73.84671;3666622.208;14300966.41;0.795931314;11200943.09;6176963.402;1448066.417;3575913.275;0.623397125;3100023.317;0.172534188;184003.9381;236639.2806;2679380.098;0.149122966;357354.9289;2423220.91;0;208031.24;106835.4993;0;106835.4993;0.005946012
10;REAL 2015;4891701.009;14874329.3;226388.8179;19992419.13;398038.4906;1191735.743;33433.45423;1623207.688;0.081191159;18369211.44;1589486.99;2985023.47;0;4574510.46;13794700.98;0.750968599;11573064.38;6204145.36;1628781.73;3740137.286;0.630025106;2221636.603;0.120943493;210600.6748;216484.045;1794551.883;0.097693463;347212.3466;2239757.812;0;92955.51612;-699462.7591;0;-699462.7591;-0.038077996
11;REAL 2016;4063011.52;15786638.54;277231.7223;20126881.78;219286.3288;1402940.898;69401.57851;1691628.806;0.084048231;18435252.97;1864284.25;3055727.862;0;4920012.112;13515240.86;0.73311936;11699076.62;6076379.785;1719622.809;3903074.03;0.634603531;1816164.239;0.09851583;191990.4983;172641.7984;1451531.942;0.078736752;265053.4895;2502415.38;0;246496.0966;-1069440.83;0;-1069440.83;-0.05801064
12;REAL 2017;4341595.389;15435935.99;226922.8177;20004454.19;202227.6786;1049343.768;59300.71038;1310872.156;0.065529014;18693582.04;1924346.043;2758631.498;0;4682977.541;14010604.5;0.749487416;11205231.96;5283449.171;1970889.264;3950893.525;0.599415989;2805372.537;0.150071427;220890.3129;162442.483;2422039.741;0.129565309;774734.1999;2238374.087;0;147244.2244;-443824.3214;-0.023742069;-443824.3214;-0.023742069
