ITEM;Ingresos Brutos Venta de Productos;Ingresos Brutos Servicios  ;Ingresos Brutos Arrendamientos;TOTAL INGRESOS BRUTOS;Devol. Rebajas. Dtos en Ventas Productos;Devol. Rebajas. Dtos en Ventas Servicios;Devol. Rebajas. Dtos en Arrendamientos;TOTAL DE LAS DEDUCCIONES EN VENTAS;Total Deducciones vs Ingresos Brutos;TOTAL INGRESOS NETOS;Costo de los Productos Vendidos;Otros Costos en la Prestación de Servicios;Costo Prestación de Servicios Arrendam.;TOTAL COSTOS;Costos vs Ingresos Netos;UTILIDAD  BRUTA;Margen Bruto;GASTOS OPERACIONALES;Gastos de Operación;Gastos de Ventas;Gastos de Administración;Total Gastos Operacionales vs Ingresos Netos;EBITDA;Margen EBITDA;      Depreciacion;      Amortizacion;UTILIDAD OPERACIONAL;Margen Operacional;Gastos No Operacionales;Gastos Financieros;Correccion Monetaria;Ingresos No Operacionales / Otros;UTILIDAD ANTES DE IMPUESTOS;Utilidad Antes de Impuesto vs Ingresos Netos;UTILIDAD NETA;Margen Neto
M_ENERO;296745.4044;1155497.945;16063.78033;1468307.13;18642.45853;77817.70029;4256.85523;100717.0141;6.859396923;1367590.116;137278.4832;235237.8005;0;372516.2837;27.23888388;995073.8325;72.76111613;912531.8015;444608.6303;151595.1472;316328.024;66.72553354;82542.03099;6.035582593;19475.16872;11338.67206;51728.19021;3.782433757;41822.71097;205688.892;0;13685.70541;-182097.7073;-13.31522546;-182097.7073;-13.31522546
M_FEBRERO;368276.187;1296249.795;21376.665;1685902.647;14356.6789;59078.20069;8799.9999;82234.87949;4.877795265;1603667.767;158763.7967;211883.4177;0;370647.2144;23.11246893;1233020.553;76.88753109;957300.5998;471572.944;167877.7892;317849.8666;59.69444666;275719.953;17.19308442;19405.41196;15038.67206;241275.8689;15.04525276;43861.19941;191923.7999;0;15365.9132;20856.78286;1.300567567;20856.78286;1.300567567
M_MARZO;359187.1;1248080.681;21276.45233;1628544.233;20420.35775;73730.84317;6810.43413;100961.6351;6.199502172;1527582.598;158842.0661;222770.8656;0;381612.9316;24.98149246;1145969.667;75.01850758;982975.2865;478451.0111;174937.9586;329586.3167;64.34842134;162994.3802;10.67008621;19620.65363;15038.67206;128335.0545;8.401185944;49519.50863;189875.6846;0;23861.55398;-87198.58476;-5.708272985;-87198.58476;-5.708272985
Q1;1024208.691;3699828.421;58716.89766;4782754.01;53419.49518;210626.7442;19867.28926;283913.5287;5.936193417;4498840.481;454884.346;669892.0838;0;1124776.43;25.00147393;3374064.053;74.99852611;2852807.688;1394632.585;494410.895;963764.2073;63.41206584;521256.3642;11.58646025;58501.23431;41416.01618;421339.1136;9.365504631;135203.419;587488.3765;0;52913.17259;-248439.5092;-5.522300918;-248439.5092;-5.522300918
M_ABRIL;279393.578;1361150.846;9390.806;1649935.23;15517.60057;86373.96128;5675.8559;107567.4178;6.519493362;1542367.812;146530.7251;183501.8516;0;330032.5766;21.39778683;1212335.235;78.60221314;1002722.811;460113.402;205206.1374;337403.2716;65.01191241;209612.4244;13.59030076;19012.72197;14975.32317;175624.3792;11.386673;48939.20751;201871.4751;0;-1419.69265;-76605.99603;-4.966778704;-76605.99603;-4.966778704
M_MAYO;422621.5604;1226236.36;8845.81;1657703.73;55466.70603;100910.5629;4399.643;160776.9119;9.698772404;1496926.818;149010.9576;192493.5394;0;341504.497;22.81370692;1155422.321;77.18629308;1024430.837;497259.3664;191190.0956;335981.3752;68.43559917;130991.4842;8.75069393;19377.75531;16076.17762;95537.55128;6.382245954;52089.05969;202899.2162;0;18068.37526;-141382.3493;-9.444840429;-141382.3493;-9.444840429
M_JUNIO;367922.999;1274956.348;18432.699;1661312.046;34274.76919;117749.0039;4184.28899;156208.0621;9.402692437;1505103.983;141210.5071;208258.078;0;349468.5851;23.21889976;1155635.398;76.78110025;981420.4872;341090.0901;190391.9104;449938.4867;65.2061584;174214.9112;11.57494188;20878.6643;16076.17762;137260.0693;9.119640294;52052.94276;213832.4004;0;5413.7586;-123211.5153;-8.186246046;-123211.5153;-8.186246046
Q2;1069938.137;3862343.554;36669.315;4968951.006;105259.0758;305033.5281;14259.78789;424552.3918;8.544105009;4544398.613;436752.1898;584253.469;0;1021005.659;22.46734378;3523392.954;77.53265622;3008574.135;1298462.859;586788.1434;1123323.134;66.2040105;514818.8198;11.32864574;59269.14158;47127.67841;408421.9998;8.987371808;153081.21;618603.0917;0;22062.44121;-341199.8606;-7.508141113;-341199.8606;-7.508141113
SEMESTRE_1;2094146.829;7562171.975;95386.21266;9751705.016;158678.571;515660.2722;34127.07715;708465.9205;7.26504667;9043239.094;891636.5358;1254145.553;0;2145782.088;23.72802561;6897457.007;76.2719744;5861381.823;2693095.444;1081199.038;2087087.341;64.81507082;1036075.184;11.45690359;117770.3759;88543.69459;829761.1134;9.175485739;288284.629;1206091.468;0;74975.6138;-589639.3698;-6.52022316;-589639.3698;-6.52022316
M_JULIO;555256.19;1290630.805;20041.8;1865928.795;12485.938;83626.67118;5145;101257.6092;5.426659874;1764671.186;202039.349;229318.3996;0;431357.7486;24.44408636;1333313.437;75.55591362;1000442.961;468181.8874;226838.8135;305422.2601;56.69288244;332870.4761;18.86303118;20121.5643;10059.07028;302689.8415;17.1527616;53416.9956;186264.1019;0;35152.29825;98161.04225;5.562568428;98161.04225;5.562568428
