ITEM;Ingresos Brutos Venta de Productos;Ingresos Brutos Servicios  ;Ingresos Brutos Arrendamientos;TOTAL INGRESOS BRUTOS;Devol. Rebajas. Dtos en Ventas Productos;Devol. Rebajas. Dtos en Ventas Servicios;Devol. Rebajas. Dtos en Arrendamientos;TOTAL DE LAS DEDUCCIONES EN VENTAS;Total Deducciones vs Ingresos Brutos;TOTAL INGRESOS NETOS;Costo de los Productos Vendidos;Otros Costos en la Prestación de Servicios;Costo Prestación de Servicios Arrendam.;TOTAL COSTOS;Costos vs Ingresos Netos;UTILIDAD  BRUTA;Margen Bruto;GASTOS OPERACIONALES;Gastos de Operación;Gastos de Ventas;Gastos de Administración;Total Gastos Operacionales vs Ingresos Netos;EBITDA;Margen EBITDA;      Depreciación;      Amortización ;UTILIDAD OPERACIONAL;Margen Operacional;Gastos No Operacionales;Gastos Financieros;Corrección Monetaria;Ingresos No Operacionales / Otros;UTILIDAD ANTES DE IMPUESTOS;Utilidad Antes de Impuesto vs Ingresos Netos;UTILIDAD NETA;Margen Neto
M_ENERO;296745.4044;1155497.945;16063.78033;1468307.13;18642.45853;77817.70029;4256.85523;100717.0141;0.068593969;1367590.116;137278.4832;235237.8005;0;372516.2837;0.272388839;995073.8325;0.727611161;912531.8015;444608.6303;151595.1472;316328.024;0.667255335;82542.03099;0.060355826;19475.16872;11338.67206;51728.19021;0.037824338;41822.71097;205688.892;0;13685.70541;-182097.7073;-0.133152255;-182097.7073;-0.133152255
M_FEBRERO;368276.187;1296249.795;21376.665;1685902.647;14356.6789;59078.20069;8799.9999;82234.87949;0.048777953;1603667.767;158763.7967;211883.4177;0;370647.2144;0.231124689;1233020.553;0.768875311;957300.5998;471572.944;167877.7892;317849.8666;0.596944467;275719.953;0.171930844;19405.41196;15038.67206;241275.8689;0.150452528;43861.19941;191923.7999;0;15365.9132;20856.78286;0.013005676;20856.78286;0.013005676
M_MARZO;359187.1;1248080.681;21276.45233;1628544.233;20420.35775;73730.84317;6810.43413;100961.6351;0.061995022;1527582.598;158842.0661;222770.8656;0;381612.9316;0.249814925;1145969.667;0.750185075;982975.2865;474188.0069;196184.4321;312602.8475;0.643484213;162994.3802;0.106700862;19620.65363;15038.67206;128335.0545;0.084011859;49519.50863;189875.6846;0;23861.55398;-87198.58476;-0.05708273;-87198.58476;-0.05708273
Q1;1024208.691;3699828.421;58716.89766;4782754.01;53419.49518;210626.7442;19867.28926;283913.5286;0.179366944;4498840.482;454884.3459;669892.0838;0;1124776.43;0.753328453;3374064.052;2.246671547;2852807.688;1390369.581;515657.3684;946780.7381;1.907684015;521256.3641;0.338987532;58501.23431;41416.01618;421339.1136;0.272288725;135203.419;587488.3764;0;52913.17259;-248439.5092;-0.177229309;-248439.5092;-0.177229309
M_ABRIL;279393.578;1361150.846;9390.806;1649935.23;15517.60057;86373.96128;5675.8559;107567.4178;0.065194934;1542367.812;146530.7251;183501.8516;0;330032.5766;0.213977868;1212335.235;0.786022132;1002722.811;447838.1501;233464.4918;321420.1691;0.650119124;209612.4244;0.135903008;19012.72197;14975.32317;175624.3792;0.11386673;48939.20751;201871.4751;0;-1419.69265;-76605.99602;-0.049667787;-76605.99602;-0.049667787
M_MAYO;422621.5604;1226236.36;8845.81;1657703.73;55466.70603;100910.5629;4399.643;160776.9119;0.096987724;1496926.818;149010.9576;192493.5394;0;341504.497;0.228137069;1155422.321;0.771862931;1024430.837;492645.2341;212716.1888;319069.4142;0.684355992;130991.4842;0.087506939;19377.75531;16076.17762;95537.55128;0.06382246;52089.05969;202899.2162;0;18068.37526;-141382.3493;-0.094448404;-141382.3493;-0.094448404
M_JUNIO;367922.999;1274956.348;18432.699;1661312.046;34274.76919;117749.0039;4184.28899;156208.0621;0.094026924;1505103.983;141210.5071;208258.078;0;349468.5851;0.232188998;1155635.398;0.767811002;981420.4872;419834.5713;213914.2428;347671.673;0.652061584;174214.9112;0.115749419;20878.6643;16076.17762;137260.0693;0.091196403;52052.94276;213832.4004;0;5413.7586;-123211.5153;-0.08186246;-123211.5153;-0.08186246
Q2;1069938.137;3862343.553;36669.315;4968951.006;105259.0758;305033.528;14259.78789;424552.3917;0.256209582;4544398.614;436752.1897;584253.469;0;1021005.659;0.674303935;3523392.955;2.325696065;3008574.135;1360317.956;660094.9234;988161.2564;1.986536699;514818.8198;0.339159366;59269.14158;47127.67841;408421.9998;0.268885592;153081.21;618603.0917;0;22062.44121;-341199.8606;-0.225978652;-341199.8606;-0.225978652
SEMESTRE 1;2094146.829;7562171.974;95386.21266;9751705.016;158678.571;515660.2722;34127.07715;708465.9203;0.435576526;9043239.095;891636.5356;1254145.553;0;2145782.088;1.427632388;6897457.007;4.572367612;5861381.823;2750687.537;1175752.292;1934941.994;3.894220715;1036075.184;0.678146898;117770.3759;88543.69459;829761.1134;0.541174317;288284.629;1206091.468;0;74975.6138;-589639.3699;-0.403207961;-589639.3699;-0.403207961
M_JULIO;433732.2;1223493.348;5437.291;1662662.839;32301.98077;108289.0234;399.904;140990.9081;0.084798255;1521671.931;202039.349;226999.5469;0;429038.8959;0.281952297;1092633.035;0.718047703;979176.1485;457765.5137;240060.8973;281349.7375;0.643487028;113456.8862;0.074560675;20121.5643;10059.07028;83276.2516;0.054726811;53416.9956;186264.1019;0;35152.29825;-121252.5476;-0.079683764;-121252.5476;-0.079683764
M_AGOSTO;625470.34;1253077.624;20041.8;1898589.764;14478.593;80222.55123;5145;99846.14423;0.052589636;1798743.62;219863.359;212307.2701;0;432170.6291;0.240262495;1366572.991;0.759737505;975054.462;452885.1486;249546.2598;272623.0536;0.542075286;391518.5286;0.21766222;18515.89763;10517.11403;362485.5169;0.201521503;52734.13779;184076.601;0;7757.27844;133432.0566;0.074180698;133432.0566;0.074180698
M_SEPTIEMBRE;630751.37;1276385.396;20041.8;1927178.566;16193.598;82410.41418;5145;103749.0122;0.053834665;1823429.553;232109.569;173888.2653;0;405997.8343;0.222656167;1417431.719;0.777343833;960866.0525;450935.5234;238890.5944;271039.9347;0.526955402;456565.6666;0.250388432;18515.89763;10517.11403;427532.6549;0.234466231;53074.67574;175971.5375;0;21067.11358;219553.5553;0.12040693;219553.5553;0.12040693
Q3;1689953.91;3752956.367;45520.891;5488431.168;62974.17177;270921.9888;10689.904;344586.0645;0.191222556;5143845.104;654012.277;613195.0823;0;1267207.359;0.744870958;3876637.744;2.255129042;2915096.663;1361586.186;728497.7515;825012.7258;1.712517716;961541.0814;0.542611326;57153.35956;31093.29834;873294.4235;0.490714544;159225.8091;546312.2404;0;63976.69027;231733.0642;0.114903864;231733.0642;0.114903864
