ORDEN;ITEM;Ingresos Brutos Venta de Productos;Ingresos Brutos Servicios  ;Ingresos Brutos Arrendamientos;TOTAL INGRESOS BRUTOS;Devol. Rebajas. Dtos en Ventas Productos;Devol. Rebajas. Dtos en Ventas Servicios;Devol. Rebajas. Dtos en Arrendamientos;TOTAL DE LAS DEDUCCIONES EN VENTAS;Total Deducciones vs Ingresos Brutos;TOTAL INGRESOS NETOS;Costo de los Productos Vendidos;Otros Costos en la Prestación de Servicios;Costo Prestación de Servicios Arrendam.;TOTAL COSTOS;Costos vs Ingresos Netos;UTILIDAD  BRUTA;Margen Bruto;GASTOS OPERACIONALES;Gastos de Operación;Gastos de Ventas;Gastos de Administración;Total Gastos Operacionales vs Ingresos Netos;EBITDA;Margen EBITDA;      Depreciación;      Amortización ;UTILIDAD OPERACIONAL;Margen Operacional;Gastos No Operacionales;Gastos Financieros;Corrección Monetaria;Ingresos No Operacionales / Otros;UTILIDAD ANTES DE IMPUESTOS;Utilidad Antes de Impuesto vs Ingresos Netos;UTILIDAD NETA;Margen Neto
1;ENERO;296745.4044;1155497.945;16063.78033;1468307.13;18642.45853;77817.70029;4256.85523;100717.0141;0.068593969;1367590.116;137278.4832;235237.8005;0;372516.2837;0.272388839;995073.8325;0.727611161;912531.8015;430848.3249;188636.1151;293047.3614;0.667255335;82542.03101;0.060355826;19475.16872;11338.67206;51728.19023;0.037824338;41822.71097;205688.892;0;13685.70541;-182097.7073;-0.133152255;-182097.7073;-0.133152255
2;FEBRERO;368276.187;1296249.795;21376.665;1685902.647;14356.6789;59078.20069;8799.9999;82234.87949;0.048777953;1603667.767;158763.7967;211883.4177;0;370647.2144;0.231124689;1233020.553;0.768875311;957300.5998;470928.1102;184998.283;301374.2066;0.596944467;275719.953;0.171930844;19405.41196;15038.67206;241275.8689;0.150452528;43861.19941;191923.7999;0;15365.9132;20856.78287;0.013005676;20856.78287;0.013005676
3;MARZO;359187.1;1248080.681;21276.45233;1628544.233;20420.35775;73730.84317;6810.43413;100961.6351;0.061995022;1527582.598;158842.0661;222770.8656;0;381612.9316;0.249814925;1145969.667;0.750185075;982975.2865;474188.0069;196184.4321;312602.8475;0.643484213;162994.3802;0.106700862;19620.65363;15038.67206;128335.0545;0.084011859;49519.50863;189875.6846;0;23861.55398;-87198.58476;-0.05708273;-87198.58476;-0.05708273
21;Q1;1024208.691;3699828.421;58716.89766;4782754.01;53419.49518;210626.7442;19867.28926;283913.5286;0.179366944;4498840.482;454884.3459;669892.0838;0;1124776.43;0.753328453;3374064.052;2.246671547;2852807.688;1375964.442;569818.8302;907024.4155;1.907684015;521256.3641;0.338987532;58501.23431;41416.01618;421339.1136;0.272288725;135203.419;587488.3764;0;52913.17259;-248439.5092;-0.177229309;-248439.5092;-0.177229309
4;ABRIL;279393.578;1361150.846;9390.806;1649935.23;15517.60057;86373.96128;5675.8559;107567.4178;0.065194934;1542367.812;146530.7251;183501.8516;0;330032.5766;0.213977868;1212335.235;0.786022132;1002722.811;447838.1501;233464.4918;321420.1691;0.650119124;209612.4244;0.135903008;19012.72197;14975.32317;175624.3792;0.11386673;48939.20751;201871.4751;0;-1419.69265;-76605.99602;-0.049667787;-76605.99602;-0.049667787
5;MAYO;422621.5604;1226236.36;8845.81;1657703.73;55466.70603;100910.5629;4399.643;160776.9119;0.096987724;1496926.818;149010.9576;192493.5394;0;341504.497;0.228137069;1155422.321;0.771862931;1024430.837;492645.2341;212716.1888;319069.4142;0.684355992;130991.4842;0.087506939;19377.75531;16076.17762;95537.55128;0.06382246;52089.05969;202899.2162;0;18068.37526;-141382.3493;-0.094448404;-141382.3493;-0.094448404
6;JUNIO;367922.999;1274956.348;18432.699;1661312.046;34274.76919;117749.0039;4184.28899;156208.0621;0.094026924;1505103.983;141210.5071;208258.078;0;349468.5851;0.232188998;1155635.398;0.767811002;981420.4872;419834.5713;213914.2428;347671.673;0.652061584;174214.9112;0.115749419;20878.6643;16076.17762;137260.0693;0.091196403;52052.94276;213832.4004;0;5413.7586;-123211.5153;-0.08186246;-123211.5153;-0.08186246
22;Q2;1069938.137;3862343.553;36669.315;4968951.006;105259.0758;305033.528;14259.78789;424552.3917;0.256209582;4544398.614;436752.1897;584253.469;0;1021005.659;0.674303935;3523392.955;2.325696065;3008574.135;1360317.956;660094.9234;988161.2564;1.986536699;514818.8198;0.339159366;59269.14158;47127.67841;408421.9998;0.268885592;153081.21;618603.0917;0;22062.44121;-341199.8606;-0.225978652;-341199.8606;-0.225978652
31;SEMESTRE 1;2094146.829;7562171.974;95386.21266;9751705.016;158678.571;515660.2722;34127.07715;708465.9203;0.435576526;9043239.095;891636.5356;1254145.553;0;2145782.088;1.427632388;6897457.007;4.572367612;5861381.823;2736282.397;1229913.754;1895185.672;3.894220715;1036075.184;0.678146898;117770.3759;88543.69459;829761.1134;0.541174317;288284.629;1206091.468;0;74975.6138;-589639.3698;-0.40320796;-589639.3698;-0.40320796
7;JULIO;433732.2;1223493.348;5437.291;1662662.839;32301.98077;108289.0234;399.904;140990.9081;0.084798255;1521671.931;202039.349;226999.5469;0;429038.8959;0.281952297;1092633.035;0.718047703;979176.1485;457765.5137;240060.8973;281349.7375;0.643487028;113456.8862;0.074560675;20121.5643;10059.07028;83276.2516;0.054726811;53416.9956;186264.1019;0;35152.29825;-121252.5476;-0.079683764;-121252.5476;-0.079683764
8;AGOSTO;375158.144;1234752.064;20041.8;1629952.008;8690.356;80077.78323;5145;93913.13923;0.057617119;1536038.869;135642.9255;208853.7826;0;344496.7081;0.224276036;1191542.161;0.775723964;959279.4625;452256.9873;235003.8526;272018.6225;0.624515097;232262.6981;0.151208868;18515.89763;10517.11403;203229.6864;0.132307646;52734.13779;186761.6704;0;7757.27844;-28508.84336;-0.018559975;-28508.84336;-0.018559975
9;SEPTIEMBRE;378326.762;1252825.199;20041.8;1651193.761;9719.359;82101.67074;5145;96966.02974;0.058724804;1554227.732;142295.2515;170221.338;0;312516.5895;0.20107516;1241711.142;0.79892484;944329.4093;450245.6253;223663.2289;270420.5551;0.607587543;297381.7327;0.191337297;18515.89763;10517.11403;268348.721;0.172657273;53074.67574;180170.8893;0;21067.11358;56170.26955;0.036140308;56170.26955;0.036140308
23;Q3;1187217.106;3711070.611;45520.891;4943808.608;50711.69577;270468.4773;10689.904;331870.0771;0.201140179;4611938.531;479977.526;606074.6675;0;1086052.193;0.707303492;3525886.337;2.292696508;2882785.02;1360268.126;698727.9788;823788.9151;1.875589668;643101.317;0.417106839;57153.35956;31093.29834;554854.6591;0.359691729;159225.8091;553196.6617;0;63976.69027;-93591.12145;-0.062103431;-93591.12145;-0.062103431
10;OCTUBRE;397566.68;1249572.351;20041.8;1667180.831;9719.359;82246.99024;5145;97111.34924;0.05824884;1570069.481;147827.9515;192411.8225;0;340239.774;0.216703642;1229829.707;0.783296358;939172.9226;447458.1771;220751.7367;270963.0088;0.598172841;290656.7847;0.185123517;18465.13203;10517.11403;261674.5386;0.166664305;53218.78106;172936.5699;0;15572.66432;51091.85204;0.032541141;51091.85204;0.032541141
11;NOVIEMBRE;406648.58;1250906.186;20041.8;1677596.566;10065.136;82636.43134;5145;97846.56734;0.058325446;1579749.999;150589.4905;200679.915;0;351269.4055;0.222357592;1228480.593;0.777642408;979750.7801;462131.6926;239271.3486;278347.7389;0.620193563;248729.813;0.157448845;18515.89763;10517.11403;219696.8014;0.139070613;53339.31774;173118.4628;0;15782.32642;9021.347223;0.005710617;9021.347223;0.005710617
12;DICIEMBRE;361809.08;1209968.801;20041.8;1591819.681;9117.983;78778.58845;5145;93041.57145;0.058449818;1498778.11;131904.808;161200.2595;0;293105.0675;0.195562682;1205673.042;0.804437318;974120.0523;462987.5658;220031.1783;291101.3083;0.649942807;231552.99;0.15449451;18515.89763;10517.11403;202519.9784;0.13512339;53331.50342;163816.4711;0;15828.59456;1200.598373;0.000801051;1200.598373;0.000801051
24;Q4;1166024.34;3710447.338;60125.4;4936597.078;28902.478;243662.01;15435;287999.488;0.175024104;4648597.59;430322.25;554291.997;0;984614.247;0.634623916;3663983.343;2.365376084;2893043.755;1372577.435;680054.2636;840412.056;1.868309211;770939.5878;0.497066873;55496.92729;31551.34209;683891.3184;0.440858308;159889.6022;509871.5038;0;47183.58529;61313.79763;0.039052809;61313.79763;0.039052809
32;SEMESTRE 2;2353241.446;7421517.949;105646.291;9880405.686;79614.17377;514130.4874;26124.904;619869.5651;0.376164283;9260536.121;910299.776;1160366.664;0;2070666.44;1.341927408;7189869.68;4.658072592;5775828.775;2732845.562;1378782.242;1664200.971;3.74389888;1414040.905;0.914173712;112650.2869;62644.64043;1238745.977;0.800550037;319115.4113;1063068.165;0;111160.2756;-32277.32382;-0.023050622;-32277.32382;-0.023050622
41;TOTAL_2018;4447388.275;14983689.92;201032.5037;19632110.7;238292.7447;1029790.76;60251.98115;1328335.485;0.067661369;18303775.22;1801936.312;2414512.217;0;4216448.529;0.230359501;14087326.69;0.769640499;11637210.6;5469127.959;2608695.996;3559386.643;0.635781988;2450116.089;0.133858511;230420.6627;151188.335;2068507.091;0.113009861;607400.0403;2269159.634;0;186135.8894;-621916.6936;-0.033977509;-621916.6936;-0.033977509
42;TOTAL_2017;4341595.389;15435935.99;226922.8177;20004454.19;202227.6786;1049343.768;59300.71038;1310872.156;0.065529014;18693582.04;1924346.043;2758631.498;0;4682977.541;0.250512584;14010604.5;0.749487416;11205231.96;5283449.171;1970889.264;3950893.525;0.599415989;2805372.537;0.150071427;220890.3129;162442.483;2422039.741;0.129565309;774734.1999;2238374.087;0;147244.2244;-443824.3214;-0.023742069;-443824.3214;-0.023742069
51;var $$;105792.8856;-452246.0638;-25890.31399;-372343.4922;36065.06618;-19553.00798;951.27077;17463.32897;0;-389806.8212;-122409.7312;-344119.2808;0;-466529.012;0;76722.19087;0;431978.6392;185678.7884;637806.7324;-391506.8817;0;-355256.4483;0;9530.34986;-11254.14798;-353532.6502;0;-167334.1596;30785.54661;0;38891.665;-178092.3722;0;-178092.3722;0
52;var %;0.024367283;-0.02929826;-0.114093039;-0.018613029;0.178338922;-0.018633558;0.016041473;0.013321916;0;-0.020852441;-0.063611081;-0.124742751;0;-0.099622304;0;0.005476009;0;0.038551512;0.03514348;0.323613683;-0.09909325;0;-0.126634322;0;0.043145169;-0.069280817;-0.145964843;0;-0.215989122;0.013753531;0;0.264130326;0.401267717;0;0.401267717;0
