ITEM;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
Ingresos Brutos Venta de Productos;296745.4044;368276.187;359187.1;279393.578;422621.5604;367922.999;555256.19;625470.34;630751.37;662817.9;677954.4;602762.8
Ingresos Brutos Servicios  ;1155497.945;1296249.795;1248080.681;1361150.846;1226236.36;1274956.348;1290630.805;1253077.624;1276385.396;1276149.02;1280436.651;1241542.067
Ingresos Brutos Arrendamientos;16063.78033;21376.665;21276.45233;9390.806;8845.81;18432.699;20041.8;20041.8;20041.8;20041.8;20041.8;20041.8
TOTAL INGRESOS BRUTOS;1468307.13;1685902.647;1628544.233;1649935.23;1657703.73;1661312.046;1865928.795;1898589.764;1927178.566;1959008.72;1978432.851;1864346.667
Devol. Rebajas. Dtos en Ventas Productos;18642.45853;14356.6789;20420.35775;15517.60057;55466.70603;34274.76919;12485.938;14478.593;16193.598;16193.598;16769.893;15171.141
Devol. Rebajas. Dtos en Ventas Servicios;77817.70029;59078.20069;73730.84317;86373.96128;100910.5629;117749.0039;83626.67118;80222.55123;82410.41418;82758.04858;83276.94114;79580.50224
Devol. Rebajas. Dtos en Arrendamientos;4256.85523;8799.9999;6810.43413;5675.8559;4399.643;4184.28899;5145;5145;5145;5145;5145;5145
TOTAL DE LAS DEDUCCIONES EN VENTAS;100717.0141;82234.87949;100961.6351;107567.4178;160776.9119;156208.0621;101257.6092;99846.14423;103749.0122;104096.6466;105191.8341;99896.64324
Total Deducciones vs Ingresos Brutos;0.068593969;0.048777953;0.061995022;0.065194934;0.096987724;0.094026924;0.054266599;0.052589636;0.053834665;0.053137408;0.053169272;0.053582654
TOTAL INGRESOS NETOS;1367590.116;1603667.767;1527582.598;1542367.812;1496926.818;1505103.983;1764671.186;1798743.62;1823429.553;1854912.073;1873241.017;1764450.023
Costo de los Productos Vendidos;137278.4832;158763.7967;158842.0661;146530.7251;149010.9576;141210.5071;202039.349;219863.359;232109.569;243010.269;248716.934;218685.6635
Otros Costos en la Prestación de Servicios;235237.8005;211883.4177;222770.8656;183501.8516;192493.5394;208258.078;229318.3996;212307.2701;173888.2653;196273.1674;204630.3474;164841.4202
Costo Prestación de Servicios Arrendam.;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL COSTOS;372516.2837;370647.2144;381612.9316;330032.5766;341504.497;349468.5851;431357.7486;432170.6291;405997.8343;439283.4364;453347.2814;383527.0837
Costos vs Ingresos Netos;0.272388839;0.231124689;0.249814925;0.213977868;0.228137069;0.232188998;0.244440864;0.240262495;0.222656167;0.236821703;0.242012254;0.217363529
UTILIDAD  BRUTA;995073.8325;1233020.553;1145969.667;1212335.235;1155422.321;1155635.398;1333313.437;1366572.991;1417431.719;1415628.637;1419893.736;1380922.94
Margen Bruto;0.727611161;0.768875311;0.750185075;0.786022132;0.771862931;0.767811002;0.755559136;0.759737505;0.777343833;0.763178297;0.757987746;0.782636471
GASTOS OPERACIONALES;912531.8015;957300.5998;982975.2865;1002722.811;1024430.837;981420.4872;1000442.961;1028864.654;994307.5756;987571.4954;1039575.191;1025372.121
Gastos de Operación;444608.6303;471572.944;478451.0111;460113.402;497259.3664;341090.0901;468181.8874;474214.2261;463834.407;461427.717;480388.8283;475956.2083
Gastos de Ventas;151595.1472;167877.7892;174937.9586;205206.1374;191190.0956;190391.9104;226838.8135;242090.1712;230912.8012;225566.1635;245456.6392;230118.9684
Gastos de Administración;316328.024;317849.8666;329586.3167;337403.2716;335981.3752;449938.4867;305422.2601;312560.2571;299560.3674;300577.6149;313729.7237;319296.9442
Total Gastos Operacionales vs Ingresos Netos;0.667255335;0.596944467;0.643484213;0.650119124;0.684355992;0.652061584;0.566928825;0.571990718;0.545295306;0.532408792;0.554960724;0.581128458
EBITDA;82542.03099;275719.953;162994.3802;209612.4244;130991.4842;174214.9112;332870.4761;337708.3362;423124.1434;428057.1411;380318.5445;355550.8188
Margen EBITDA;0.060355826;0.171930844;0.106700862;0.135903008;0.087506939;0.115749419;0.188630312;0.187746788;0.232048528;0.230769505;0.203027022;0.201508013
      Depreciación;19475.16872;19405.41196;19620.65363;19012.72197;19377.75531;20878.6643;20121.5643;18515.89763;18515.89763;18465.13203;18515.89763;18515.89763
      Amortización ;11338.67206;15038.67206;15038.67206;14975.32317;16076.17762;16076.17762;10059.07028;10517.11403;10517.11403;10517.11403;10517.11403;10517.11403
UTILIDAD OPERACIONAL;51728.19021;241275.8689;128335.0545;175624.3792;95537.55128;137260.0693;302689.8415;308675.3246;394091.1318;399074.8951;351285.5328;326517.8071
Margen Operacional;0.037824338;0.150452528;0.084011859;0.11386673;0.06382246;0.091196403;0.171527616;0.171606071;0.216126327;0.215144912;0.187528209;0.185053588
Gastos No Operacionales;41822.71097;43861.19941;49519.50863;48939.20751;52089.05969;52052.94276;53416.9956;52734.13779;53074.67574;53218.78106;53339.31774;53331.50342
Gastos Financieros;205688.892;191923.7999;189875.6846;201871.4751;202899.2162;213832.4004;186264.1019;184584.5871;176852.0467;168754.1509;168067.6295;158148.7975
Corrección Monetaria;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos No Operacionales / Otros;13685.70541;15365.9132;23861.55398;-1419.69265;18068.37526;5413.7586;35152.29825;7757.27844;21067.11358;15572.66432;15782.32642;15828.59456
UTILIDAD ANTES DE IMPUESTOS;-182097.7073;20856.78286;-87198.58476;-76605.99603;-141382.3493;-123211.5153;98161.04225;79113.87815;185231.5229;192674.6274;145660.912;130866.1007
Utilidad Antes de Impuesto vs Ingresos Netos;-0.133152255;0.013005676;-0.05708273;-0.049667787;-0.094448404;-0.08186246;0.055625684;0.043982854;0.10158414;0.103872647;0.077758767;0.07416821
UTILIDAD NETA;-182097.7073;20856.78286;-87198.58476;-76605.99603;-141382.3493;-123211.5153;98161.04225;79113.87815;185231.5229;192674.6274;145660.912;130866.1007
