ITEM;ENERO;FEBRERO;MARZO;Q1;ABRIL;MAYO;JUNIO;Q2;S1;JULIO;AGOSTO;SEPTIEMBRE;Q3;OCTUBRE;NOVIEMBRE;DICIEMBRE;Q4;S2;TOTAL
Ingresos Brutos Venta de Productos;296745.4044;368276.187;359187.1;1024208.691;279393.578;422621.5604;367922.999;1069938.137;2094146.829;555256.19;625470.34;630751.37;1811477.9;662817.9;677954.4;602762.8;1943535.1;3755013;5849159.829
Ingresos Brutos Servicios  ;1155497.945;1296249.795;1248080.681;3699828.421;1361150.846;1226236.36;1274956.348;3862343.554;7562171.975;1290630.805;1253077.624;1276385.396;3820093.825;1276149.02;1280436.651;1241542.067;3798127.738;7618221.563;15180393.54
Ingresos Brutos Arrendamientos;16063.78033;21376.665;21276.45233;58716.89766;9390.806;8845.81;18432.699;36669.315;95386.21266;20041.8;20041.8;20041.8;60125.4;20041.8;20041.8;20041.8;60125.4;120250.8;215637.0127
TOTAL INGRESOS BRUTOS;1468307.13;1685902.647;1628544.233;4782754.01;1649935.23;1657703.73;1661312.046;4968951.006;9751705.016;1865928.795;1898589.764;1927178.566;5691697.125;1959008.72;1978432.851;1864346.667;5801788.238;11493485.36;21245190.38
Devol. Rebajas. Dtos en Ventas Productos;18642.45853;14356.6789;20420.35775;53419.49518;15517.60057;55466.70603;34274.76919;105259.0758;158678.571;12485.938;14478.593;16193.598;43158.129;16193.598;16769.893;15171.141;48134.632;91292.761;249971.332
Devol. Rebajas. Dtos en Ventas Servicios;77817.70029;59078.20069;73730.84317;210626.7442;86373.96128;100910.5629;117749.0039;305033.5281;515660.2722;83626.67118;80222.55123;82410.41418;246259.6366;82758.04858;83276.94114;79580.50224;245615.492;491875.1286;1007535.401
Devol. Rebajas. Dtos en Arrendamientos;4256.85523;8799.9999;6810.43413;19867.28926;5675.8559;4399.643;4184.28899;14259.78789;34127.07715;5145;5145;5145;15435;5145;5145;5145;15435;30870;64997.07715
TOTAL DE LAS DEDUCCIONES EN VENTAS;100717.0141;82234.87949;100961.6351;283913.5287;107567.4178;160776.9119;156208.0621;424552.3918;708465.9205;101257.6092;99846.14423;103749.0122;304852.7656;104096.6466;105191.8341;99896.64324;309185.1239;614037.8896;1322503.81
Total Deducciones vs Ingresos Brutos;0.068593969;0.048777953;0.061995022;0.179366944;0.065194934;0.096987724;0.094026924;0.256209582;0.435576526;0.054266599;0.052589636;0.053834665;0.1606909;0.053137408;0.053169272;0.053582654;0.159889334;0.320580234;0.75615676
TOTAL INGRESOS NETOS;1367590.116;1603667.767;1527582.598;4498840.481;1542367.812;1496926.818;1505103.983;4544398.613;9043239.094;1764671.186;1798743.62;1823429.553;5386844.359;1854912.073;1873241.017;1764450.023;5492603.113;10879447.47;19922686.57
Costo de los Productos Vendidos;137278.4832;158763.7967;158842.0661;454884.346;146530.7251;149010.9576;141210.5071;436752.1898;891636.5358;202039.349;219863.359;232109.569;654012.277;243010.269;248716.934;218685.6635;710412.8665;1364425.144;2256061.679
Otros Costos en la Prestación de Servicios;235237.8005;211883.4177;222770.8656;669892.0838;183501.8516;192493.5394;208258.078;584253.469;1254145.553;229318.3996;212307.2701;173888.2653;615513.935;196273.1674;204630.3474;164841.4202;565744.935;1181258.87;2435404.423
Costo Prestación de Servicios Arrendam.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL COSTOS;372516.2837;370647.2144;381612.9316;1124776.43;330032.5766;341504.497;349468.5851;1021005.659;2145782.088;431357.7486;432170.6291;405997.8343;1269526.212;439283.4364;453347.2814;383527.0837;1276157.802;2545684.014;4691466.102
Costos vs Ingresos Netos;0.272388839;0.231124689;0.249814925;0.753328453;0.213977868;0.228137069;0.232188998;0.674303935;1.427632388;0.244440864;0.240262495;0.222656167;0.707359526;0.236821703;0.242012254;0.217363529;0.696197486;1.403557012;2.8311894
UTILIDAD  BRUTA;995073.8325;1233020.553;1145969.667;3374064.053;1212335.235;1155422.321;1155635.398;3523392.954;6897457.007;1333313.437;1366572.991;1417431.719;4117318.147;1415628.637;1419893.736;1380922.94;4216445.313;8333763.46;15231220.47
Margen Bruto;0.727611161;0.768875311;0.750185075;2.246671547;0.786022132;0.771862931;0.767811002;2.325696065;4.572367612;0.755559136;0.759737505;0.777343833;2.292640474;0.763178297;0.757987746;0.782636471;2.303802514;4.596442988;9.1688106
GASTOS OPERACIONALES;912531.8015;957300.5998;982975.2865;2852807.688;1002722.811;1024430.837;981420.4872;3008574.135;5861381.823;1000442.961;1028864.654;994307.5756;3023615.191;987571.4954;1039575.191;1025372.121;3052518.807;6076133.998;11937515.82
Gastos de Operación;444608.6303;471572.944;478451.0111;1394632.585;460113.402;497259.3664;341090.0901;1298462.859;2693095.444;468181.8874;474214.2261;463834.407;1406230.521;461427.717;480388.8283;475956.2083;1417772.754;2824003.274;5517098.718
Gastos de Ventas;151595.1472;167877.7892;174937.9586;494410.895;205206.1374;191190.0956;190391.9104;586788.1434;1081199.038;226838.8135;242090.1712;230912.8012;699841.7859;225566.1635;245456.6392;230118.9684;701141.7711;1400983.557;2482182.595
Gastos de Administración;316328.024;317849.8666;329586.3167;963764.2073;337403.2716;335981.3752;449938.4867;1123323.134;2087087.341;305422.2601;312560.2571;299560.3674;917542.8846;300577.6149;313729.7237;319296.9442;933604.2828;1851147.167;3938234.508
Total Gastos Operacionales vs Ingresos Netos;0.667255335;0.596944467;0.643484213;1.907684015;0.650119124;0.684355992;0.652061584;1.9865367;3.894220715;0.566928825;0.571990718;0.545295306;1.684214849;0.532408792;0.554960724;0.581128458;1.668497974;3.352712823;7.246933538
EBITDA;82542.03099;275719.953;162994.3802;521256.3642;209612.4244;130991.4842;174214.9112;514818.8198;1036075.184;332870.4761;337708.3362;423124.1434;1093702.956;428057.1411;380318.5445;355550.8188;1163926.504;2257629.46;3293704.644
Margen EBITDA;0.060355826;0.171930844;0.106700862;0.338987532;0.135903008;0.087506939;0.115749419;0.339159366;0.678146898;0.188630312;0.187746788;0.232048528;0.608425628;0.230769505;0.203027022;0.201508013;0.63530454;1.243730168;1.921877066
      Depreciación;19475.16872;19405.41196;19620.65363;58501.23431;19012.72197;19377.75531;20878.6643;59269.14158;117770.3759;20121.5643;18515.89763;18515.89763;57153.35956;18465.13203;18515.89763;18515.89763;55496.92729;112650.2869;230420.6627
      Amortización ;11338.67206;15038.67206;15038.67206;41416.01618;14975.32317;16076.17762;16076.17762;47127.67841;88543.69459;10059.07028;10517.11403;10517.11403;31093.29834;10517.11403;10517.11403;10517.11403;31551.34209;62644.64043;151188.335
UTILIDAD OPERACIONAL;51728.19021;241275.8689;128335.0545;421339.1136;175624.3792;95537.55128;137260.0693;408421.9998;829761.1134;302689.8415;308675.3246;394091.1318;1005456.298;399074.8951;351285.5328;326517.8071;1076878.235;2082334.533;2912095.646
Margen Operacional;0.037824338;0.150452528;0.084011859;0.272288725;0.11386673;0.06382246;0.091196403;0.268885593;0.541174318;0.171527616;0.171606071;0.216126327;0.559260014;0.215144912;0.187528209;0.185053588;0.587726709;1.146986723;1.688161041
Gastos No Operacionales;41822.71097;43861.19941;49519.50863;135203.419;48939.20751;52089.05969;52052.94276;153081.21;288284.629;53416.9956;52734.13779;53074.67574;159225.8091;53218.78106;53339.31774;53331.50342;159889.6022;319115.4114;607400.0403
Gastos Financieros;205688.892;191923.7999;189875.6846;587488.3765;201871.4751;202899.2162;213832.4004;618603.0917;1206091.468;186264.1019;184584.5871;176852.0467;547700.7357;168754.1509;168067.6295;158148.7975;494970.5779;1042671.314;2248762.782
Corrección Monetaria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos No Operacionales / Otros;13685.70541;15365.9132;23861.55398;52913.17259;-1419.69265;18068.37526;5413.7586;22062.44121;74975.6138;35152.29825;7757.27844;21067.11358;63976.69027;15572.66432;15782.32642;15828.59456;47183.5853;111160.2756;186135.8894
UTILIDAD ANTES DE IMPUESTOS;-182097.7073;20856.78286;-87198.58476;-248439.5092;-76605.99603;-141382.3493;-123211.5153;-341199.8606;-589639.3698;98161.04225;79113.87815;185231.5229;362506.4433;192674.6274;145660.912;130866.1007;469201.6401;831708.0834;242068.7136
