Placas - ALIAS,Placa,Fecha,Aceleracion Fuerte,Acelerada rango alto,Acelerada rango medio,Acelerada rango vel bajo,Alarma Perdida Combustible,apagado del vehiculo,Apertura Puerta Carga,Autoreporte,Autorreporte Satelital,Cierre Puerta Carga,Control de audio,Desenganche,Distancia Calculada (Km),Distancia Recorrida (Km),encendido del vehiculo,Enganche,Estado antena gps,Exceso de velocidad,Exceso de Velocidad Zona Equipo,Exceso de Velocidad Zonas y Rutas,Falla Sensor Combustible,Fallo de bateria backup,Fallo de Bateria Principal,Fin carga de bateria,Fin Exceso de Velocidad,Frenada Fuerte,Frenada rango alto,Frenada rango de vel bajo,Frenada rango medio,Fuera del rango de velocidad,GPS FIX,GSM GPS Info,Horometro,Ingreso a,Inicio carga bateria,Interrogacion posicion,Interrogacion posicion Llamada,Interrogacion satelital,Lectura por Distancia o Tiempo,Maxima Velocidad,Mensaje Satelital,Mensaje SkyTrack,Movimiento Ilegal,Nivel bajo de bateria,Panico,Paquete satelital,Por tiempo de lectura,Pta cabina,Puerta carga abierta,Puerta carga cerrada,Salida de,Sensor de Temperatura dentro del Rango temp1,Sensor de Temperatura dentro del Rango temp2,Sobrepaso Inferior temp1,Sobrepaso Inferior temp2,Sobrepaso Superior temp1,Sobrepaso Superior temp2,Tiempo de Actividad,Tiempo en Exceso de velocidad,Tiempo fuera del rango de velocidad,Tiempo Ralenti,Velocidad Promedio,Mins. Fuera de Limite
BYB636,BYB636,05/04/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BYB636,BYB636,06/04/2018,6,0,0,0,0,14,0,0,0,0,0,0,0,10.3,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.726944444,0,0,0,0,0,0,57.2,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.9,0
BYB636,BYB636,07/04/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BYB636,BYB636,08/04/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BYB636,BYB636,09/04/2018,1,0,0,0,0,9,0,0,0,0,0,0,0,26.3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.847222222,0,0,0,0,0,0,51.8,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0.433333333,26.9,0
BYB636,BYB636,10/04/2018,0,0,0,0,0,4,0,0,0,0,0,0,0,14.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802222222,0,0,0,0,0,0,50,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,1.083333333,0,0,0.116666667,23.7,0
BYB636,BYB636,11/04/2018,0,0,0,0,0,6,0,0,0,0,0,0,0,31.8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.561944444,0,0,0,0,0,0,65.8,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,1.733333333,0,0,0.233333333,29.6,0
BYB636,BYB636,12/04/2018,0,0,0,0,0,7,0,0,0,0,0,0,0,17.4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.024166667,0,0,0,0,0,0,55.4,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,1.266666667,0,0,0.066666667,22.3,0
BYB636,BYB636,13/04/2018,3,0,0,0,0,8,0,0,0,0,0,0,0,32.6,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.782777778,0,0,0,0,0,0,55,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,1.966666667,0,0,0.216666667,27,0
BYB636,BYB636,14/04/2018,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0
