Placa;Fecha;Exceso de velocidad;Tiempo en Exceso de velocidad;Distancia Recorrida (Km);Tiempo de Actividad;Velocidad Promedio;Maxima Velocidad;Tiempo fuera del rango de velocidad;Fuera del rango de velocidad;Frenada Fuerte;Aceleracion Fuerte;Tiempo Ralenti
4X2619;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
ALY00936;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
BC540029;9/07/2018;0;0;4.7;0.393;10.1;20.6;0;0;0;0;0.115
BC540635;9/07/2018;0;0;12.1;0.310;11.3;27.6;0;0;0;0;0.005
CCD00389;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
D0000828;9/07/2018;0;0;0;0.015;0;0;0;0;0;0;0.000
E0001133;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0006478;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0007099;9/07/2018;0;0;0.55414;0.423;0;0;0;0;0;0;0.000
F0017323;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP08360;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP13063;9/07/2018;0;0;9.80766;0.288;12.6;18.5;0;0;0;0;0.000
RKG01398;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
TMX243;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
WCP188;9/07/2018;0;0;69.41113;0.259;28.4;70.3;0;0;0;0;0.000
WCP189;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
PAB03338;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
3MR02053;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
DJD01667;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
B0006808;9/07/2018;0;0;0;0.000;0;0;0:00;0;0;0;0.000
A8F03121;9/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
4X2619;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
ALY00936;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
BC540029;10/07/2018;0;0;10.4;0.090;13.2;19.6;0;0;0;0;0.038
BC540635;10/07/2018;0;0;20.9;0.348;13.5;33;0;0;0;0;0.022
CCD00389;10/07/2018;0;0;0.05326;0.174;0;0;0;0;0;0;0.000
D0000828;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0001133;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0006478;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0007099;10/07/2018;0;0;0.23762;0.355;0;0;0;0;0;0;0.000
F0017323;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP08360;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP13063;10/07/2018;0;0;5.59095;0.312;9.1;20.4;0;0;0;0;0.000
RKG01398;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
TMX243;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
WCP188;10/07/2018;0;0;102.25988;0.347;28;68.5;0;0;0;0;0.000
WCP189;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
PAB03338;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
3MR02053;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
DJD01667;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
B0006808;10/07/2018;0;0;0;0.000;0;0;0:00;0;0;0;0.000
A8F03121;10/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
4X2619;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
ALY00936;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
