Placa;Fecha;Distancia Recorrida (Km);Tiempo de Actividad;Velocidad Promedio;Maxima Velocidad;Fuera del rango de velocidad;Frenada Fuerte;Aceleracion Fuerte;Tiempo Ralenti
KJB482;14/05/2018;0;0;0;0;0;0;0;0
KJB485;14/05/2018;0;0;0;0;0;0;0;0
SMK784;14/05/2018;0;0;0;0;0;0;0;0
SSP988;14/05/2018;254.9;5.05;53.1;73.8;0;0;0;0
SSQ034;14/05/2018;12.8;0.4;45.2;69.2;0;0;0;0
SSQ086;14/05/2018;11.1;5.166666667;27.1;69.5;0;0;0;0.016666667
SSQ089;14/05/2018;0;0;0;0;0;0;0;0
SSQ216;14/05/2018;68.3;5.733333333;38.3;71.9;0;0;0;2.416666667
SSQ233;14/05/2018;53.2;2.216666667;36.2;57.8;0;0;0;0
SSQ269;14/05/2018;0;0;0;0;0;0;0;0
SSQ504;14/05/2018;0;0;0;0;0;0;0;0
SSQ505;14/05/2018;0;0;0;0;0;0;0;0
SSQ517;14/05/2018;0.2;0.316666667;0;0;0;0;0;0
SSQ518;14/05/2018;133.9;5.166666667;38.1;63.6;0;0;0;0.233333333
SSQ520;14/05/2018;168.2;5.166666667;39.7;65.9;0;0;0;0.3
SST787;14/05/2018;0;0;0;0;0;0;0;0
SST794;14/05/2018;0;0;0;0;0;0;0;0
SST799;14/05/2018;0;0;0;0;0;0;0;0
SST806;14/05/2018;0;0;0;0;0;0;0;0
SST812;14/05/2018;152.5;8.116666667;28.5;70.7;0;0;0;0.4
SST847;14/05/2018;309.02;12.05;37.3;72.2;0;0;0;0
SST848;14/05/2018;0;0;0;0;0;0;0;0
SST852;14/05/2018;0;0;0;0;0;0;0;0
SST856;14/05/2018;195.4;5.35;43.4;65.8;0;0;0;0
SXU686;14/05/2018;0;0;0;0;0;0;0;0
SXU997;14/05/2018;2.4;0.283333333;24;46.3;0;0;0;0
TUL304;14/05/2018;34;2.95;36.8;68.3;0;0;0;0.466666667
TUL498;14/05/2018;0;0;0;0;0;0;0;0
TUL659;14/05/2018;0;0;0;0;0;0;0;0
WCT672;14/05/2018;10.7;2.366666667;22.9;39;0;0;0;0.716944445
WEO953;14/05/2018;104.8;10.11666667;29.4;71.5;0;0;0;0.1
XIE470;14/05/2018;0;0;0;0;0;0;0;0
XIE691;14/05/2018;0;0;0;0;0;0;0;0
XIE692;14/05/2018;0;0;0;0;0;0;0;0
XIE694;14/05/2018;0;0;0;0;0;0;0;0
XJA060;14/05/2018;0;0;0;0;0;0;0;0
XIE683;14/05/2018;0;0;0;0;0;0;0;0
WDP400;14/05/2018;111.33;3.35;37.7;66.6;0;0;0;0
VJK173;14/05/2018;0;0;0;0;0;0;0;0
VJK172;14/05/2018;0;0;0;0;0;0;0;0
TUL658;14/05/2018;13.39;1.133333333;30;66.6;0;0;0;0
TRL815;14/05/2018;0;0.05;0;0;0;0;0;0
TRL720;14/05/2018;37.1;1.6;32.8;66.5;0;0;0;0
TGM572;14/05/2018;144.21;5.2;38.5;61.1;0;0;0;0
SXV541;14/05/2018;0;0;0;0;0;0;0;0
SXU801;14/05/2018;334.21;8.033333333;47.7;77.7;1;0;0;0
SXU799;14/05/2018;56.01;3.116666667;22.1;37;0;0;0;0
SXU687;14/05/2018;0;0;0;0;0;0;0;0
SST853;14/05/2018;0;0;0;0;0;0;0;0
SST850;14/05/2018;209.25;10.06666667;27;61.1;0;0;0;0
SST842;14/05/2018;0;0;0;0;0;0;0;0
SST835;14/05/2018;0;0;0;0;0;0;0;0
SST810;14/05/2018;245.22;7.4;39.1;68.5;9;0;0;0
SST808;14/05/2018;0;0;0;0;0;0;0;0
SST804;14/05/2018;131.53;4.916666667;33.4;72.2;0;0;0;0
SST798;14/05/2018;192.53;7.783333333;42.7;66.6;0;0;0;0
SST793;14/05/2018;0;0;0;0;0;0;0;0
SST789;14/05/2018;138.59;4.683333333;33.2;59.2;0;0;0;0
SST788;14/05/2018;0;0;0;0;0;0;0;0
SST784;14/05/2018;0;0;0;0;0;0;0;0
T2376;14/05/2018;0;0;0;0;0;0;0;0
SSQ519;14/05/2018;0;0;0;0;0;0;0;0
SSQ516;14/05/2018;29.21;1.85;25.5;55.5;0;0;0;0
SSQ335;14/05/2018;48.05;1.65;49.6;62.9;0;0;0;0
SSQ298;14/05/2018;44.49;7.833333333;34.7;66.6;2;0;0;0
SSQ278;14/05/2018;110.3;4.916666667;33.4;61.4;0;0;0;0
SSQ275;14/05/2018;118.5;3.7;39.1;70.6;0;0;0;0
SSQ274;14/05/2018;176.2;13.23333333;25.6;61.1;0;0;0;0
SSQ271;14/05/2018;32.4;3.05;19.8;31.5;0;0;0;0
