Placas,Fecha,Aceleracion Fuerte,apagado del vehiculo,Apertura Puerta Carga,Conexión alimentacion externa,Control de audio,Desconexión alimentacion externa,Distancia Recorrida,encendido del vehiculo,Equipo apagado,Equipo encendido,Exceso de velocidad,Fallo de Bateria Principal,Fin carga de bateria,Frenada Fuerte,Fuera del rango de velocidad,Horometro,Ingreso a,Inicio carga bateria,Interrogacion posicion,Interrogacion posicion Llamada,Maxima Velocidad,Movimiento Ilegal,Nivel bajo de bateria,Panico,Por tiempo de lectura,Posible Colisión,Primera localización despues de encendido,Pta cabina,Salida de,Tiempo de Actividad,Tiempo en Exceso de velocidad,Tiempo fuera del rango de velocidad,Tiempo Ralenti,Velocidad Promedio,Nombre de Informe
AAM110,01/05/2018,0,4,0,2,0,1,1.1,4,0,0,0,0,0,0,0,0.211111111,0,0,0,0,18.1,0,0,0,25,0,0,0,0,0.216666667,0,0,0,12,Del 1 al 31 de mayo
AAM110,02/05/2018,0,15,0,14,0,16,29.3,15,0,0,0,0,0,1,0,2.251111111,0,0,0,0,85.2,0,0,0,164,0,0,0,0,2.266666667,0,0,0.25,28.8,Del 1 al 31 de mayo
AAM110,03/05/2018,0,19,0,14,0,13,114.5,19,0,0,0,0,0,1,0,3.235,0,0,0,0,74.6,3,0,0,229,0,0,0,0,3.3,0,0,0,44.2,Del 1 al 31 de mayo
AAM110,04/05/2018,0,14,0,11,0,12,60.6,14,0,0,0,0,0,0,0,3.317222222,0,0,0,0,92.9,0,0,0,229,0,0,0,0,3.35,0,0,0.116666667,31.4,Del 1 al 31 de mayo
AAM110,05/05/2018,0,17,0,12,0,12,63.5,17,0,0,0,0,0,0,0,4.655833333,0,0,0,0,83.1,0,0,0,311,0,0,0,0,4.683333333,0,0,1.266666667,31.5,Del 1 al 31 de mayo
AAM110,06/05/2018,0,4,0,3,0,2,19.7,4,0,0,0,0,0,0,0,0.910555556,0,0,0,0,86.2,0,0,0,69,0,0,0,0,0.916666667,0,0,0,30.8,Del 1 al 31 de mayo
AAM110,07/05/2018,0,7,0,8,0,8,20.8,7,0,0,0,0,0,0,0,0.873611111,0,0,0,0,94.8,0,0,0,69,0,0,0,0,0.883333333,0,0,0,36.3,Del 1 al 31 de mayo
AAM110,08/05/2018,0,11,0,7,0,7,34.4,11,0,0,0,0,0,0,0,1.875833333,1,0,0,0,87.6,0,0,0,138,0,0,0,2,1.916666667,0,0,0,28.5,Del 1 al 31 de mayo
AAM110,09/05/2018,0,17,0,16,0,15,206.3,17,0,0,0,0,0,0,0,5.443333333,3,0,0,0,84.8,6,0,0,362,0,0,0,3,5.466666667,0,0,0.083333333,47.5,Del 1 al 31 de mayo
AAM110,10/05/2018,0,10,0,6,0,6,33.1,10,0,0,0,0,0,0,0,1.671388889,1,0,0,0,90.9,0,0,0,123,0,0,0,1,1.683333333,0,0,0,33.2,Del 1 al 31 de mayo
