Placa,Fecha Inicial,Hora Inicial,Fecha Final,Hora Final,Duracion,Latitud,Longitud,Geocerca,Distancia Respecto a Parada Anterior,Tiempo Respecto a Parada Anterior,Motor Apagado,Nombre de Informe
AAM573,2018-05-21,01:45:17,2018-05-21,08:00:58,6.261388889,15.401985,-88.002781,BIT BUFALO,0,0.00,Si,del 21 al 27 de mayo
AAM573,2018-05-21,08:00:58,2018-05-21,08:07:36,0.110555556,15.401985,-88.002781,BIT BUFALO,0.5,0.00,No,del 21 al 27 de mayo
AAM573,2018-05-21,08:24:04,2018-05-21,11:02:30,2.640555556,15.324158,-87.990144,ZIP VILLANUEVA,9.9,0.27,Si,del 21 al 27 de mayo
AAM573,2018-05-21,11:07:09,2018-05-21,11:14:13,0.117777778,15.321311,-87.987062,ZIP VILLANUEVA,0.8,0.08,Si,del 21 al 27 de mayo
AAM573,2018-05-21,11:21:17,2018-05-21,11:36:27,0.252777778,15.324187,-87.990331,ZIP VILLANUEVA,0.8,0.12,Si,del 21 al 27 de mayo
AAM573,2018-05-21,11:36:27,2018-05-21,11:42:28,0.100277778,15.324114,-87.990043,ZIP VILLANUEVA,0.3,0.00,No,del 21 al 27 de mayo
AAM573,2018-05-21,14:21:06,2018-05-21,14:28:35,0.124722222,15.825922,-87.919829,PREDIO PUCAB DPT,87.8,2.64,Si,del 21 al 27 de mayo
AAM573,2018-05-21,14:32:38,2018-05-21,14:40:47,0.135833333,15.826627,-87.918673,PREDIO PUCAB DPT,0.2,0.07,Si,del 21 al 27 de mayo
AAM573,2018-05-21,14:42:51,2018-05-22,08:49:34,18.11194444,15.825641,-87.919134,PREDIO PUCAB DPT,0.2,0.03,Si,del 21 al 27 de mayo
AAM573,2018-05-22,08:56:18,2018-05-22,09:04:55,0.143611111,15.827114,-87.918263,PREDIO PUCAB DPT,0.5,0.11,Si,del 21 al 27 de mayo
AAM573,2018-05-22,10:44:45,2018-05-22,10:59:42,0.249166667,15.327025,-87.992126,ZIP VILLANUEVA,79.4,1.66,Si,del 21 al 27 de mayo
AAM573,2018-05-22,10:59:42,2018-05-22,11:04:42,0.083333333,15.326935,-87.99219,ZIP VILLANUEVA,0,0.00,No,del 21 al 27 de mayo
AAM573,2018-05-22,11:06:43,2018-05-22,11:14:47,0.134444444,15.32582,-87.990695,ZIP VILLANUEVA,0.2,0.03,Si,del 21 al 27 de mayo
AAM573,2018-05-22,11:19:00,2018-05-22,16:00:30,4.691666667,15.325782,-87.990266,ZIP VILLANUEVA,0,0.07,Si,del 21 al 27 de mayo
AAM573,2018-05-22,16:01:14,2018-05-22,16:10:08,0.148333333,15.325993,-87.990001,ZIP VILLANUEVA,0.1,0.01,Si,del 21 al 27 de mayo
AAM573,2018-05-22,19:05:53,2018-05-22,20:02:14,0.939166667,15.826259,-87.920265,PREDIO PUCAB DPT,88.6,2.93,Si,del 21 al 27 de mayo
AAM573,2018-05-22,20:28:52,2018-05-23,11:14:04,14.75333333,15.825623,-87.919196,PREDIO PUCAB DPT,0.9,0.44,Si,del 21 al 27 de mayo
AAM573,2018-05-23,11:14:04,2018-05-23,11:23:44,0.161111111,15.825623,-87.919196,PREDIO PUCAB DPT,0.1,0.00,No,del 21 al 27 de mayo
