CP;Placa;Fecha ;Mes ;Dia;hora ;Distancia 
" ""00057051012"""; SQY068; 2017-11-25T06;11;25;06;330996375000,00
" ""00057051012"""; SQY068; 2017-11-25T06;11;25;06;330996250000,00
" ""00057051012"""; SQY068; 2017-11-25T06;11;25;06;330996250000,00
" ""00057051012"""; SQY068; 2017-11-25T06;11;25;06;330996125000,00
" ""00057051012"""; SQY068; 2017-11-25T06;11;25;06;330996125000,00
" ""00057051012"""; SQY068; 2017-11-25T13;11;25;13;330996375000,00
" ""00057051012"""; SQY068; 2017-11-25T14;11;25;14;331007750000,00
" ""00057051012"""; SQY068; 2017-11-25T14;11;25;14;331007500000,00
" ""00057051012"""; SQY068; 2017-11-25T14;11;25;14;331007375000,00
" ""00057051012"""; SQY068; 2017-11-25T14;11;25;14;331002125000,00
" ""00057051012"""; SQY068; 2017-11-25T14;11;25;14;330996375000,00
" ""00057051012"""; SQY068; 2017-11-25T14;11;25;14;330996375000,00
" ""00057051012"""; SQY068; 2017-11-25T16;11;25;16;331010125000,00
" ""00057051012"""; SQY068; 2017-11-25T16;11;25;16;331007875000,00
" ""00057051012"""; SQY068; 2017-11-25T16;11;25;16;331007875000,00
" ""00057051012"""; SQY068; 2017-11-25T16;11;25;16;331007750000,00
" ""00057051012"""; SQY068; 2017-11-25T17;11;25;17;331018875000,00
" ""00057051012"""; SQY068; 2017-11-25T17;11;25;17;331018875000,00
" ""00057051012"""; SQY068; 2017-11-25T17;11;25;17;331018875000,00
" ""00057051012"""; SQY068; 2017-11-25T18;11;25;18;331019000000,00
" ""00057051012"""; SQY068; 2017-11-25T18;11;25;18;331019000000,00
" ""00057051012"""; SQY068; 2017-11-25T19;11;25;19;331019000000,00
" ""00057051012"""; SQY068; 2017-11-27T21;11;27;21;331311750000,00
" ""00057051012"""; SQY068; 2017-11-27T21;11;27;21;331307875000,00
" ""00057051012"""; SQY068; 2017-11-27T21;11;27;21;331307250000,00
" ""00057051012"""; SQY068; 2017-11-27T21;11;27;21;331305875000,00
" ""00057051012"""; SQY068; 2017-11-27T22;11;27;22;331313250000,00
" ""00057051012"""; SQY068; 2017-11-27T22;11;27;22;331313250000,00
" ""00057051012"""; SQY068; 2017-11-27T22;11;27;22;331313250000,00
" ""00057051012"""; SQY068; 2017-11-27T22;11;27;22;331313250000,00
" ""00057051012"""; SQY068; 2017-11-27T23;11;27;23;331313375000,00
" ""00057051012"""; SQY068; 2017-11-27T23;11;27;23;331313375000,00
" ""00057051012"""; SQY068; 2017-11-28T04;11;28;04;331313375000,00
" ""00057051012"""; SQY068; 2017-11-28T06;11;28;06;331313500000,00
" ""00057051012"""; SQY068; 2017-11-28T06;11;28;06;331313500000,00
" ""00057051012"""; SQY068; 2017-11-28T07;11;28;07;331317875000,00
" ""00057051012"""; SQY068; 2017-11-28T07;11;28;07;331313625000,00
" ""00057051012"""; SQY068; 2017-11-28T07;11;28;07;331313625000,00
" ""00057051012"""; SQY068; 2017-11-28T08;11;28;08;331318000000,00
" ""00057051012"""; SQY068; 2017-11-28T16;11;28;16;331318000000,00
" ""00057051012"""; SQY068; 2017-11-28T16;11;28;16;331318000000,00
" ""00057051012"""; SQY068; 2017-11-28T17;11;28;17;331337000000,00
" ""00057051012"""; SQY068; 2017-11-28T17;11;28;17;331325750000,00
" ""00057051012"""; SQY068; 2017-11-28T17;11;28;17;331318875000,00
