Placa;Fecha;Distancia Recorrida (Km);Tiempo de Actividad;Velocidad Promedio;Maxima Velocidad;Fuera del rango de velocidad;Frenada Fuerte;Aceleracion Fuerte;Tiempo Ralenti
SSQ135;13/07/2018;216,23;6,3;43,7;64,8;0;0;0;0
XIE683;13/07/2018;89,35;9,35;19,6;62,9;0;0;0;0
SSQ015;13/07/2018;83,69;3,333333333;39,5;64,8;0;0;0;0
TUL304;13/07/2018;148,9;10,23333333;20,5;72,7;0;0;0;3,95
SSQ271;13/07/2018;0;0;0;0;0;0;0;0
SSQ130;13/07/2018;111,69;4,15;49,2;68,5;0;0;0;0
SST812;13/07/2018;98,1;5,783333333;34,5;78,1;0;0;0;0,516666667
TUL658;13/07/2018;69,83;2,583333333;38,3;72,2;0;0;0;0
T2376;13/07/2018;0;1,7;0;0;0;0;0;0
SSQ093;13/07/2018;0;0;0;0;0;0;0;0
SMK784;13/07/2018;301,3;11;37,3;66;0;0;0;0,2
SON561;13/07/2018;0;0;0;0;0;0;0;0
SSQ137;13/07/2018;0;0;0;0;0;0;0;0
SSQ185;13/07/2018;0;0;0;0;0;0;0;0
SSQ225;13/07/2018;0,04;0,166666667;0;0;0;0;0;0
SST784;13/07/2018;0;0;0;0;0;0;0;0
SST793;13/07/2018;0;0;0;0;0;0;0;0
SST794;13/07/2018;0;0;0;0;0;0;0;0
SST799;13/07/2018;0;0;0;0;0;0;0;0
SST806;13/07/2018;0;0;0;0;0;0;0;0
SST848;13/07/2018;0;0;0;0;0;0;0;0
SXU687;13/07/2018;0;0;0;0;0;0;0;0
SXU997;13/07/2018;0;0;0;0;0;0;0;0
SZV599;13/07/2018;0;0;0;0;0;0;0;0
SZV601;13/07/2018;0;0;0;0;0;0;0;0
TUL659;13/07/2018;0;0;0;0;0;0;0;0
XIE692;13/07/2018;0;0;0;0;0;0;0;0
XJA060;13/07/2018;0;0,1;0;0;0;0;0;0
XJA409;13/07/2018;0;0;0;0;0;0;0;0
SSP974;13/07/2018;0;0;0;0;0;0;0;0
SSQ234;13/07/2018;0;0;0;0;0;0;0;0
SST852;13/07/2018;48,4;8,55;31,8;86,8;1;1;0;0
SSQ519;13/07/2018;491,2;16,26666667;33,2;66,7;0;0;0;0,583333333
SSQ516;13/07/2018;86,19;6,816666667;31,2;68,5;0;0;0;0
SSP995;13/07/2018;304,82;8,816666667;39,2;74;0;0;0;0
TRL720;13/07/2018;108;5,45;32,3;68,6;0;0;0;0,25
SST808;13/07/2018;35,8;2,6;42,2;65,5;0;1;0;0,75
SSQ505;13/07/2018;288,4;10,51666667;32;72,8;0;0;0;0,616666667
SMK871;13/07/2018;230,6;6,15;46,3;70,3;0;0;0;0
131404;13/07/2018;0;0;0;0;0;0;0;0
XIE470;13/07/2018;237;10,71666667;30,6;61,6;0;0;0;0
SSQ227;13/07/2018;207,39;5,666666667;43,2;72,2;0;0;0;0
TGM572;13/07/2018;253,59;8,083333333;35,3;72,2;0;0;0;0
SSQ180;13/07/2018;322,4;8,733333333;47;75,8;0;0;0;0,266666667
SST847;13/07/2018;115,96;6,65;23;72,2;0;0;0;0
SSQ010;13/07/2018;203,76;13,71666667;19,8;59,2;0;0;0;0
SSQ129;13/07/2018;0,1;0,566666667;0;0;0;0;0;0
SSQ139;13/07/2018;24,76;10,23333333;17,8;27,8;0;0;0;0
SMK745;13/07/2018;147,63;4,816666667;39,7;62,9;0;0;0;0
SST788;13/07/2018;0;0;0;0;0;0;0;0
SSQ220;13/07/2018;58,6;5,2;18;36,4;0;0;0;0,75
SSP993;13/07/2018;52,82;1,866666667;34;53,7;0;0;0;0
SST835;13/07/2018;142,09;6,183333333;0;0;0;0;0;0
SSQ017;13/07/2018;0;0,166666667;0;0;0;0;0;0
SST853;13/07/2018;0;0;0;0;0;0;0;0
SSQ005;13/07/2018;89,32;3,083333333;37,5;61,1;0;0;0;0
SXU686;13/07/2018;179,7;6,05;43,8;66,8;0;2;0;0
XIE691;13/07/2018;342,7;14,26666667;33,3;69,7;0;0;0;0
SSQ223;13/07/2018;23,37;2,116666667;34;61,1;0;0;0;0
SSQ014;13/07/2018;41,34;5,233333333;31,7;51,8;0;0;0;0
SSQ091;13/07/2018;1,09;2,2;6,5;13;0;0;0;0
SSQ215;13/07/2018;20,21;3,866666667;29,9;53,7;0;0;0;0
SSQ183;13/07/2018;0;0;0;0;0;0;0;0
SSQ228;13/07/2018;141,06;6,9;24,5;64,8;0;0;0;0
SSQ086;13/07/2018;279,8;9,45;47,6;74,1;0;0;0;0
SSQ155;13/07/2018;0;0;0;0;0;0;0;0
SST856;13/07/2018;0;23,98333333;57,4;57,4;0;0;0;0
WCT672;13/07/2018;349;11,58333333;36,1;64,6;0;0;0;0,283333333
SSQ133;13/07/2018;182,34;5,383333333;39,8;68,5;0;0;0;0
SSQ157;13/07/2018;182,76;10,8;19,8;61,1;0;0;0;0
SSQ158;13/07/2018;0;0;0;0;0;0;0;0
SSQ184;13/07/2018;340,33;11,15;43;68,5;0;0;0;0
SSQ275;13/07/2018;222,3;13,15;19,2;65,8;0;0;0;0
SSQ218;13/07/2018;0;0;0;0;0;0;0;0
SSQ298;13/07/2018;41;2,283333333;39,6;68,5;0;0;0;0
SSQ520;13/07/2018;113,3;4,766666667;30,8;66,9;0;0;0;0,183333333
SSP990;13/07/2018;27,02;3,016666667;18,8;55,5;0;0;0;0
SSQ008;13/07/2018;253,63;8,266666667;37,6;57,4;0;0;0;0
SSQ126;13/07/2018;389,6;6,866666667;62,2;77,7;0;0;0;0
SSQ018;13/07/2018;142,08;4,45;39,5;64,8;0;0;0;0
SSQ187;13/07/2018;0;0;0;0;0;0;0;0
SSQ131;13/07/2018;0;0;0;0;0;0;0;0
SSQ000;13/07/2018;171,55;8,566666667;26,2;66,6;0;0;0;0
SSQ221;13/07/2018;37,8;1,2;38;64,8;0;0;0;0
SSQ274;13/07/2018;201,72;6,166666667;50,2;75,9;0;0;0;0
SST798;13/07/2018;69,93;2,533333333;42,3;61,1;0;0;0;0
SST787;13/07/2018;0;1,216666667;0;0;0;0;0;0,316666667
SSQ031;13/07/2018;250,36;7,583333333;44,5;75,9;0;0;0;0
SST789;13/07/2018;132,7;4,4;41,2;64,8;0;0;0;0
TRL815;13/07/2018;46,5;2,316666667;32,6;56,2;0;0;0;0,15
SST810;13/07/2018;24,04;11,3;28,8;61,1;0;0;0;0
SSP988;13/07/2018;513,9;10,88333333;52,6;75,8;0;0;0;0,083333333
SSQ132;13/07/2018;0;0,433333333;0;0;0;0;0;0
SSQ518;13/07/2018;57,1;17,75;23,1;58,4;0;0;0;15,66666667
SXU801;13/07/2018;0;0;0;0;0;0;0;0
SSQ164;13/07/2018;97,46;5,733333333;41,6;66,6;0;0;0;0
SSQ269;13/07/2018;46,3;8,15;24,9;68,1;0;0;0;0
TFU029;13/07/2018;161,8;18,96666667;48,5;91,9;0;0;1;0,488333333
SSQ165;13/07/2018;80,66;8,216666667;14,6;31,5;0;0;0;0
T2124;13/07/2018;0;0;0;0;0;0;0;0
MI036046;13/07/2018;1;7,666666667;13,3;17,8;0;0;0;6,933333333
63003243;13/07/2018;12;3,033333333;19,1;41,5;0;0;0;2,033333333
52506011;13/07/2018;0;0,183333333;0;0;0;0;0;0,133333333
MI036047;13/07/2018;0,1;5,066666667;12,3;17,6;0;0;0;2,683333333
WDP400;13/07/2018;656,96;13,68333333;52;77,7;0;0;0;0
SSQ138;13/07/2018;36,05;2,616666667;33,9;55,5;0;0;0;0
SSP973;13/07/2018;240,99;7,966666667;35,4;70,3;0;0;0;0
SSQ295;13/07/2018;149,84;5,2;43,2;72,2;0;0;0;0
