Item;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
Real unidades 2017;571;727;966;715;733;744;641;882;1040;831;955;770
Real facturacion 2017;210836717;183108586;237566630;217735036;235511691;233132377;204106000;284948644;305000000;271637540;284489214;274592263
Real promedio 2017;369241,1856;251868,7565;245928,1884;304524,5259;321298,3506;313349,9691;318418,0967;323071,0249;293269,2308;326880,3129;297894,4649;356613,3286
Real unidades 2018;706;879;837;852;829;780;1102;1272;1367;1367;1417;1296
RF - GPS (lite- pro - MA);706;879;837;852;829;780;697;742;787;787;837;761
PLUS XS -LITE XS;0;0;0;0;0;0;345;420;450;450;450;415
TECH;0;0;0;0;0;0;60;110;130;130;130;120
Real facturacion 2018;323192292;351756468;387170716;279700772;397916279;294204335;387780662;436019507;466254002;466254002;480814207;438691359
Venta;257263000;340000000;351115270;249062000;357764000;264700000;#¡REF!;#¡REF!;#¡REF!;#¡REF!;#¡REF!;#¡REF!
Servicio (Anticipados);65929292;11756468;36055446;30638772;40152279;29504335;0;#¡REF!;#¡REF!;#¡REF!;#¡REF!;#¡REF!
Real promedio 2018;457779,4504;400178,0068;462569,5532;328287,2911;479995,5115;377185,0449;351888,078;304859,011;318960,8683;341078,2751;329043,0501;370998,6165
Variacion Promedio 2017 / 2018;88538,26479;148309,2503;216641,3648;23762,76521;158697,1608;63835,07579;33469,98132;-18212,01394;25691,63756;14197,96218;31148,58518;14385,28794
Total;50555349,19;107820825;209275558,4;16990377,12;116325018,9;47493296,38;21454258,02;-16062996,29;26719303,06;11798506,57;29746898,85;11076671,71
porcentaje vs 2017;23,97843692;58,88354409;88,09131079;7,803235269;49,39246048;20,37181493;10,51133138;-5,637154846;8,760427232;4,343474238;10,45624839;4,033861549
Factu Prom Venta;364395,1841;386803,1854;419492,5568;292326,2911;431560,9168;339358,9744;351888,078;342782,6313;341078,2751;341078,2751;339318,4241;338496,419
