Item	Real unidades 2017	Real facturacion 2017	Real promedio 2017	Real unidades 2018	RF - GPS (lite- pro - MA)	PLUS XS -LITE XS	TECH	Real facturacion 2018	Venta	Servicio (Anticipados)	Real promedio 2018	Variacion Promedio 2017 / 2018	Total	Factu Prom Venta
ENE	571	210836717	369241.1856	706	706	0	0	323192292	257263000	65929292	457779.4504	88538.26479	50555349.19	364395.1841
FEB	727	183108586	251868.7565	879	879	0	0	351756468	340000000	11756468	400178.0068	148309.2503	107820825	386803.1854
MAR	966	237566630	245928.1884	837	837	0	0	387170716	351115270	36055446	462569.5532	216641.3648	209275558.4	419492.5568
ABR	715	217735036	304524.5259	852	852	0	0	279700772	249062000	30638772	328287.2911	23762.76521	16990377.12	292326.2911
MAY	733	235511691	321298.3506	829	829	0	0	397916279	357764000	40152279	479995.5115	158697.1608	116325018.9	431560.9168
JUN	744	233132377	313349.9691	780	780	0	0	294204335	264700000	29504335	377185.0449	63835.07579	47493296.38	339358.9744
JUL	641	204106000	318418.0967	1102	697	345	60	387780662	266918612	266918612	351888078	33469.98132	21454258.02	351888078
AGO	882	284948644	323071.0249	1272	742	420	110	436019507	293087657	293087657	304859011	-18212.01394	-16062996.29	342782.6313
SEP	1040	305000000	293269.2308	1367	787	450	130	466254002	313292252	313292252	318960.8683	25691.63756	26719303.06	341078.2751
OCT	831	271637540	326880.3129	1367	787	450	130	466254002	313292252	313292252	341078.2751	14197.96218	11798506.57	341078.2751
NOV	955	284489214	297894.4649	1417	837	450	130	480814207	327852457	327852457	329043.0501	31148.58518	29746898.85	339318.4241
DIC	770	274592263	356613.3286	1296	761	415	120	438691359	296985859	296985859	370998.6165	14385.28794	11076671.71	338496419
